Geneid	LdNA_IDs	blast_annotation
LDECv5g02601	LdNA_10921	E3 ubiquitin-protein ligase FANCL; Mus musculus 
LDECv5g02602	LdNA_10920	Bromodomain-containing protein 7; Homo sapiens 
LDECv5g02603	LdNA_10919	Glycogen [starch] synthase; Drosophila melanogaster 
LDECv5g02604	LdNA_10918	Beta-ureidopropionase; Pongo abelii 
LDECv5g02605	LdNA_10917	Mitochondrial fission process protein 1; Caenorhabditis elegans 
LDECv5g02606	LdNA_10916	Probable 18S rRNA (guanine-N(7))-methyltransferase; Mus musculus 
LDECv5g02607	LdNA_10915	Cell division control protein 45 homolog; Homo sapiens 
LDECv5g02608	LdNA_10914	NADH dehydrogenase (ubiquinone) 23 kDa subunit; Drosophila melanogaster 
LDECv5g02609	LdNA_10913	Transmembrane emp24 domain-containing protein; Nematostella vectensis 
LDECv5g02610	LdNA_10911	Ras-related protein Rab-35; Rattus norvegicus 
LDECv5g02611	LdNA_10910	PHD finger protein 12; Homo sapiens 
LDECv5g02612	LdNA_10909	Protein ABHD11; Danio rerio 
LDECv5g02613	LdNA_10907	Integral membrane protein GPR155; Homo sapiens 
LDECv5g02614	LdNA_10906	Protein bric-a-brac 2; Drosophila melanogaster 
LDECv5g02616	LdNA_10904	Phosphoglucomutase; Drosophila melanogaster 
LDECv5g02617	LdNA_10900	-
LDECv5g02618	LdNA_10899	-
LDECv5g02619	LdNA_10898	-
LDECv5g02620	LdNA_10896	-
LDECv5g02621	LdNA_10893	Putative nuclease HARBI1; Danio rerio 
LDECv5g02622	LdNA_10892	-
LDECv5g02623	LdNA_10891	-
LDECv5g02624	LdNA_10890	"Protein still life, isoform SIF type 1; Drosophila melanogaster "
LDECv5g02625	LdNA_10888	"Protein still life, isoforms C/SIF type 2; Drosophila melanogaster "
LDECv5g02626	LdNA_10886	Toll-like receptor Tollo; Drosophila melanogaster 
LDECv5g02627	LdNA_10885	-
LDECv5g02628	LdNA_10880	"Protein still life, isoforms C/SIF type 2; Drosophila melanogaster "
LDECv5g02629	LdNA_10877	Glutamate--cysteine ligase; Drosophila melanogaster 
LDECv5g02630	LdNA_10876	Peroxisome biogenesis factor 2; Danio rerio 
LDECv5g02631	LdNA_10875	Chromatin modification-related protein MEAF6; Drosophila melanogaster 
LDECv5g02632	LdNA_10874	Osteopetrosis-associated transmembrane protein 1; Homo sapiens 
LDECv5g02633	LdNA_10873	Gonadal protein gdl; Drosophila melanogaster 
LDECv5g02634	LdNA_10870	1-acyl-sn-glycerol-3-phosphate acyltransferase gamma; Homo sapiens 
LDECv5g02635	LdNA_10867	General odorant-binding protein 70; Anopheles gambiae 
LDECv5g02638	LdNA_10865	-
LDECv5g02639	LdNA_10864	-
LDECv5g02640	LdNA_10862	-
LDECv5g02642	LdNA_10859	Formylglycine-generating enzyme; Homo sapiens 
LDECv5g02643	LdNA_10858	TraB domain-containing protein; Mus musculus 
LDECv5g02645	LdNA_10857	ER membrane protein complex subunit 4; Xenopus tropicalis 
LDECv5g02646	LdNA_10856	26S proteasome regulatory subunit 8; Drosophila melanogaster 
LDECv5g02647	LdNA_10855	Transcription factor Sp4; Homo sapiens 
LDECv5g02648	LdNA_10854	CST complex subunit STN1; Bos taurus 
LDECv5g02649	LdNA_10853	Arginase-1; Sus scrofa 
LDECv5g02650	LdNA_10852	"Fumarate hydratase, mitochondrial; Danio rerio "
LDECv5g02651	LdNA_10851	DnaJ homolog subfamily A member 2; Bos taurus 
LDECv5g02652	LdNA_10850	Alpha-crystallin B chain; Gallus gallus 
LDECv5g02653	LdNA_10845	Zinc finger protein 142; Homo sapiens 
LDECv5g02654	LdNA_10848	-
LDECv5g02657	LdNA_10843	Alpha-crystallin B chain; Ovis aries 
LDECv5g02658	LdNA_10844	Alpha-crystallin B chain; Squalus acanthias 
LDECv5g02659	LdNA_10841	Protein lethal(2)essential for life; Drosophila melanogaster 
LDECv5g02661	LdNA_10837	-
LDECv5g02663	LdNA_10834	Aldehyde dehydrogenase 1A1; Gallus gallus 
LDECv5g02664	LdNA_10832	Ras-related protein Rab-5B; Gallus gallus 
LDECv5g02665	LdNA_10827	Cell division control protein 6 homolog; Homo sapiens 
LDECv5g02666	LdNA_10826	Aladin; Homo sapiens 
LDECv5g02667	LdNA_10825	Cytochrome P450 6k1; Blattella germanica 
LDECv5g02668	LdNA_10822	Cytochrome P450 6k1; Blattella germanica 
LDECv5g02670	LdNA_10817	Cytochrome P450 6k1; Blattella germanica 
LDECv5g02671	LdNA_10813	Protein lethal(3)malignant blood neoplasm 1; Drosophila melanogaster 
LDECv5g02673	LdNA_10804	-
LDECv5g02674	LdNA_10805	"Probable cytochrome P450 301a1, mitochondrial; Drosophila melanogaster "
LDECv5g02675	LdNA_10803	Fork head domain-containing protein FD4; Drosophila melanogaster 
LDECv5g02676	LdNA_10802	Radial spoke head protein 4 homolog A; Mus musculus 
LDECv5g02677	LdNA_10796	-
LDECv5g02678	LdNA_10791	Multiple epidermal growth factor-like domains protein 8; Rattus norvegicus 
LDECv5g02679	LdNA_10790	Eukaryotic translation initiation factor 2-alpha kinase 1; Macaca fascicularis 
LDECv5g02680	LdNA_10789	Nucleolar GTP-binding protein 2; Mus musculus 
LDECv5g02681	LdNA_10788	Importin-5; Homo sapiens 
LDECv5g02682	LdNA_10787	Zinc finger and SCAN domain-containing protein 23; Homo sapiens 
LDECv5g02683	LdNA_10785	-
LDECv5g02684	LdNA_10784	-
LDECv5g02685	LdNA_10782	Serine protease 55; Homo sapiens 
LDECv5g02686	LdNA_10780	Juvenile hormone esterase; Tribolium castaneum 
LDECv5g02689	LdNA_10771	-
LDECv5g02691	LdNA_10739	Juvenile hormone esterase; Tribolium castaneum 
LDECv5g02692	LdNA_10748	-
LDECv5g02694	LdNA_10732	Luciferin 4-monooxygenase; Photuris pensylvanica 
LDECv5g02695	LdNA_10744	Protein grindelwald; Drosophila melanogaster 
LDECv5g02696	LdNA_10729	Equilibrative nucleoside transporter 3; Homo sapiens 
LDECv5g02697	LdNA_10728	Equilibrative nucleoside transporter 1; Rattus norvegicus 
LDECv5g02698	LdNA_10727	Equilibrative nucleoside transporter 3; Rattus norvegicus 
LDECv5g02700	LdNA_10722	Equilibrative nucleoside transporter 3; Bos taurus 
LDECv5g02701	LdNA_10717	Equilibrative nucleoside transporter 3; Bos taurus 
LDECv5g02702	LdNA_10716	Hsp90 co-chaperone Cdc37; Drosophila virilis 
LDECv5g02703	LdNA_10714	"Succinate dehydrogenase assembly factor 4, mitochondrial; Drosophila melanogaster "
LDECv5g02704	LdNA_10712	Endoplasmic reticulum-Golgi intermediate compartment protein 3; Danio rerio 
LDECv5g02705	LdNA_10713	Reactive oxygen species modulator 1; Xenopus tropicalis 
LDECv5g02706	LdNA_10711	Exocyst complex component 8; Xenopus laevis 
LDECv5g02707	LdNA_10710	Sperm-associated antigen 7 homolog; Danio rerio 
LDECv5g02708	LdNA_10709	Phosphatidylserine synthase; Drosophila melanogaster 
LDECv5g02709	LdNA_10708	WD repeat and FYVE domain-containing protein 2; Homo sapiens 
LDECv5g02710	LdNA_10707	Flexible cuticle protein 12; Hyalophora cecropia 
LDECv5g02711	LdNA_10706	Flexible cuticle protein 12; Hyalophora cecropia 
LDECv5g02712	LdNA_10705	Flexible cuticle protein 12; Hyalophora cecropia 
LDECv5g02714	LdNA_10703	Flexible cuticle protein 12; Hyalophora cecropia 
LDECv5g02715	LdNA_10700	Cuticle protein CP14.6; Manduca sexta 
LDECv5g02716	LdNA_10699	-
LDECv5g02717	LdNA_10698	-
LDECv5g02718	LdNA_10697	Cuticle protein CP14.6; Manduca sexta 
LDECv5g02719	LdNA_10696	Flexible cuticle protein 12; Hyalophora cecropia 
LDECv5g02720	LdNA_10695	-
LDECv5g02721	LdNA_10691	Endocuticle structural glycoprotein ABD-5; Locusta migratoria 
LDECv5g02722	LdNA_10692	-
LDECv5g02724	LdNA_10689	-
LDECv5g02725	LdNA_10688	PiggyBac transposable element-derived protein 2; Homo sapiens 
LDECv5g02727	LdNA_10686	Endocuticle structural glycoprotein SgAbd-5; Schistocerca gregaria 
LDECv5g02728	LdNA_10685	Larval cuticle protein 16/17; Manduca sexta 
LDECv5g02730	LdNA_10683	Cuticle protein CP14.6; Manduca sexta 
LDECv5g02731	LdNA_10682	-
LDECv5g02732	LdNA_10681	Cuticle protein CP14.6; Manduca sexta 
LDECv5g02733	LdNA_10678	-
LDECv5g02734	LdNA_10677	-
LDECv5g02735	LdNA_10676	PiggyBac transposable element-derived protein 2; Homo sapiens 
LDECv5g02736	LdNA_10674	-
LDECv5g02737	LdNA_10673	-
LDECv5g02738	LdNA_10672	Endocuticle structural glycoprotein ABD-5; Locusta migratoria 
LDECv5g02739	LdNA_10671	Endocuticle structural glycoprotein SgAbd-2; Schistocerca gregaria 
LDECv5g02740	LdNA_10669	-
LDECv5g02741	LdNA_10668	Larval cuticle protein LCP-17; Bombyx mori 
LDECv5g02742	LdNA_10667	Larval cuticle protein LCP-17; Bombyx mori 
LDECv5g02743	LdNA_10664	Larval cuticle protein LCP-17; Bombyx mori 
LDECv5g02744	LdNA_10663	Endocuticle structural glycoprotein SgAbd-1; Schistocerca gregaria 
LDECv5g02745	LdNA_10662	Endocuticle structural glycoprotein SgAbd-2; Schistocerca gregaria 
LDECv5g02746	LdNA_10660	Endocuticle structural glycoprotein SgAbd-2; Schistocerca gregaria 
LDECv5g02747	LdNA_10658	Protein Dr1; Drosophila melanogaster 
LDECv5g02748	LdNA_10657	-
LDECv5g02749	LdNA_10656	Probable bifunctional dTTP/UTP pyrophosphatase/methyltransferase protein; Homo sapiens 
LDECv5g02750	LdNA_10655	Serine/threonine-protein kinase OSR1; Mus musculus 
LDECv5g02751	LdNA_10654	-
LDECv5g02753	LdNA_10653	Sterol regulatory element-binding protein cleavage-activating protein; Sus scrofa 
LDECv5g02754	LdNA_10652	GTP-binding protein 10 homolog; Drosophila melanogaster 
LDECv5g02755	LdNA_10651	"tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial; Xenopus tropicalis "
LDECv5g02756	LdNA_10650	E3 ubiquitin-protein ligase TRIM37; Mus musculus 
LDECv5g02760	LdNA_10643	Protein cornichon; Drosophila melanogaster 
LDECv5g02761	LdNA_10641	Glia maturation factor; Drosophila melanogaster 
LDECv5g02762	LdNA_10640	Gamma-secretase subunit Aph-1; Drosophila melanogaster 
LDECv5g02763	LdNA_10638	-
LDECv5g02764	LdNA_10637	Protein suppressor of hairy wing; Drosophila melanogaster 
LDECv5g02765	LdNA_10635	-
LDECv5g02767	LdNA_10632	Golgin subfamily A member 2; Mus musculus 
LDECv5g02769	LdNA_10630	-
LDECv5g02770	LdNA_10629	-
LDECv5g02771	LdNA_10627	-
LDECv5g02772	LdNA_10625	Phosphatidylethanolamine-binding protein homolog F40A3.3; Caenorhabditis elegans 
LDECv5g02773	LdNA_10624	Phosphatidylethanolamine-binding protein homolog F40A3.3; Caenorhabditis elegans 
LDECv5g02774	LdNA_10623	Beta-lactamase-like protein 2 homolog; Drosophila melanogaster 
LDECv5g02775	LdNA_10622	mRNA-capping enzyme; Mus musculus 
LDECv5g02776	LdNA_10618	Signal transducing adapter molecule 1; Homo sapiens 
LDECv5g02777	LdNA_10617	"Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial (Fragment); Macaca fascicularis "
LDECv5g02778	LdNA_10615	-
LDECv5g02779	LdNA_10612	Lipase 3; Drosophila melanogaster 
LDECv5g02780	LdNA_10608	Lipase member K; Mus musculus 
LDECv5g02781	LdNA_10611	-
LDECv5g02782	LdNA_10610	-
LDECv5g02783	LdNA_10603	-
LDECv5g02784	LdNA_10599	Growth hormone-inducible transmembrane protein; Homo sapiens 
LDECv5g02785	LdNA_10598	ATP-dependent RNA helicase DHX33; Mus musculus 
LDECv5g02786	LdNA_10597	Rho-associated protein kinase 2; Homo sapiens 
LDECv5g02787	LdNA_10596	Advillin; Homo sapiens 
LDECv5g02788	LdNA_10593	-
LDECv5g02789	LdNA_10592	Villin-like protein quail; Drosophila melanogaster 
LDECv5g02790	LdNA_10591	Tetraspanin-7; Mus musculus 
LDECv5g02792	LdNA_10590	-
LDECv5g02793	LdNA_10589	-
LDECv5g02794	LdNA_10585	Nuclear factor of activated T-cells 5; Rattus norvegicus 
LDECv5g02795	LdNA_27300	PiggyBac transposable element-derived protein 2; Homo sapiens 
LDECv5g02796	LdNA_10584	-
LDECv5g02797	LdNA_10583	"Elongation factor Ts, mitochondrial; Aedes aegypti "
LDECv5g02799	LdNA_10579	Coiled-coil domain-containing protein 124-A; Xenopus laevis 
LDECv5g02800	LdNA_10576	-
LDECv5g02801	LdNA_10575	Class E basic helix-loop-helix protein 22; Xenopus tropicalis 
LDECv5g02802	LdNA_10572	-
LDECv5g02803	LdNA_10567	Insulin-like growth factor-binding protein complex acid labile subunit; Mus musculus 
LDECv5g02804	LdNA_10563	Cysteine/serine-rich nuclear protein 2; Mus musculus 
LDECv5g02805	LdNA_10562	Putative ankyrin repeat protein RF_0381; Rickettsia felis (strain ATCC VR-1525 / URRWXCal2) 
LDECv5g02806	LdNA_10561	-
LDECv5g02807	LdNA_10560	5'-3' exoribonuclease 1; Mus musculus 
LDECv5g02808	LdNA_10559	COP9 signalosome complex subunit 8; Danio rerio 
LDECv5g02809	LdNA_10555	Geranylgeranyl transferase type-2 subunit alpha; Sus scrofa 
LDECv5g02810	LdNA_10557	Lipase 3; Drosophila melanogaster 
LDECv5g02811	LdNA_10556	Lipase 3; Drosophila melanogaster 
LDECv5g02812	LdNA_10554	Lipase 3; Drosophila melanogaster 
LDECv5g02813	LdNA_10553	Lipase 3; Drosophila melanogaster 
LDECv5g02814	LdNA_10552	Lipase 3; Drosophila melanogaster 
LDECv5g02815	LdNA_10546	Intraflagellar transport protein 80 homolog; Homo sapiens 
LDECv5g02816	LdNA_10545	-
LDECv5g02817	LdNA_10544	"Propionyl-CoA carboxylase alpha chain, mitochondrial; Mus musculus "
LDECv5g02818	LdNA_10540	MFS-type transporter clz9; Cochliobolus lunatus 
LDECv5g02819	LdNA_10536	"ATP-dependent Clp protease proteolytic subunit, mitochondrial; Bos taurus "
LDECv5g02820	LdNA_10512	-
LDECv5g02821	LdNA_10508	MOXD1 homolog 2; Drosophila melanogaster 
LDECv5g02822	LdNA_10504	-
LDECv5g02823	LdNA_10499	-
LDECv5g02824	LdNA_10491	Hydroxysteroid dehydrogenase-like protein 1; Gallus gallus 
LDECv5g02825	LdNA_10488	Chitin synthase chs-2; Caenorhabditis elegans 
LDECv5g02826	LdNA_10490	Casein kinase I isoform gamma-2; Homo sapiens 
LDECv5g02827	LdNA_10489	-
LDECv5g02828	LdNA_10486	Histone H4 transcription factor; Homo sapiens 
LDECv5g02829	LdNA_10487	Dysbindin; Bos taurus 
LDECv5g02830	LdNA_10485	Mitotic spindle assembly checkpoint protein MAD2B; Danio rerio 
LDECv5g02831	LdNA_10484	Zinc finger protein 846; Homo sapiens 
LDECv5g02832	LdNA_10482	Pickpocket protein 28; Drosophila melanogaster 
LDECv5g02833	LdNA_10481	MPN domain-containing protein CG4751; Drosophila melanogaster 
LDECv5g02834	LdNA_10478	Ras guanine nucleotide exchange factor E; Dictyostelium discoideum 
LDECv5g02835	LdNA_10477	Chaoptin; Drosophila melanogaster 
LDECv5g02836	LdNA_10474	Radial spoke head 1 homolog; Homo sapiens 
LDECv5g02837	LdNA_10473	-
LDECv5g02838	LdNA_10472	Zinc finger MYM-type protein 1; Homo sapiens 
LDECv5g02840	LdNA_10470	Acaloleptin A; Acalolepta luxuriosa 
LDECv5g02842	LdNA_10462	-
LDECv5g02843	LdNA_10466	"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial; Bos taurus "
LDECv5g02844	LdNA_10459	Profilin; Apis mellifera 
LDECv5g02845	LdNA_10458	Eukaryotic initiation factor 4A-I; Pongo abelii 
LDECv5g02846	LdNA_10456	-
LDECv5g02847	LdNA_10451	Activating signal cointegrator 1 complex subunit 1; Mus musculus 
LDECv5g02848	LdNA_10450	Thioredoxin domain-containing protein 17; Homo sapiens 
LDECv5g02849	LdNA_10449	Ras-related protein Rab-30; Mus musculus 
LDECv5g02850	LdNA_10448	"Cysteine desulfurase, mitochondrial; Drosophila melanogaster "
LDECv5g02851	LdNA_10447	Uncharacterized protein CFAP97D2; Mus musculus 
LDECv5g02852	LdNA_10445	Gamma-tubulin complex component 3 homolog; Xenopus laevis 
LDECv5g02853	LdNA_10444	Eukaryotic initiation factor 4A; Caenorhabditis elegans 
LDECv5g02854	LdNA_10439	Uncharacterized protein F58A4.6; Caenorhabditis elegans 
LDECv5g02855	LdNA_10438	Ribonuclease P protein subunit p29; Bos taurus 
LDECv5g02856	LdNA_10436	"Isoleucine--tRNA ligase, cytoplasmic; Mus musculus "
LDECv5g02857	LdNA_10435	BTB/POZ domain-containing protein 3; Callithrix jacchus 
LDECv5g02858	LdNA_10434	N-acetylneuraminate lyase; Pongo abelii 
LDECv5g02859	LdNA_10433	-
LDECv5g02860	LdNA_10432	Biogenesis of lysosome-related organelles complex 1 subunit 1; Drosophila melanogaster 
LDECv5g02861	LdNA_10431	PRA1 family protein 3; Mus musculus 
LDECv5g02862	LdNA_10430	-
LDECv5g02863	LdNA_10428	Protein pygopus; Drosophila melanogaster 
LDECv5g02864	LdNA_10429	-
LDECv5g02865	LdNA_10426	"Malate dehydrogenase, mitochondrial; Macaca fascicularis "
LDECv5g02866	LdNA_10423	Small G protein signaling modulator 1; Mus musculus 
LDECv5g02867	LdNA_10422	General transcription factor 3C polypeptide 2; Homo sapiens 
LDECv5g02868	LdNA_10420	Integrator complex subunit 2; Homo sapiens 
LDECv5g02869	LdNA_10421	Probable ATP-dependent RNA helicase DHX34; Mus musculus 
LDECv5g02870	LdNA_10419	Aristaless-related homeobox protein; Danio rerio 
LDECv5g02871	LdNA_10418	"Dynein beta chain, ciliary; Tripneustes gratilla "
LDECv5g02872	LdNA_10417	Dynein regulatory complex subunit 4; Homo sapiens 
LDECv5g02874	LdNA_10412	-
LDECv5g02875	LdNA_10411	Separin; Mus musculus 
LDECv5g02876	LdNA_10409	"Acetyl-CoA acetyltransferase, cytosolic; Homo sapiens "
LDECv5g02877	LdNA_10408	-
LDECv5g02878	LdNA_10407	Retinol dehydrogenase 11; Mus musculus 
LDECv5g02879	LdNA_10406	Zwei Ig domain protein zig-8; Caenorhabditis elegans 
LDECv5g02880	LdNA_10405	LDLR chaperone boca; Drosophila melanogaster 
LDECv5g02881	LdNA_10404	Putative ammonium transporter 2; Caenorhabditis elegans 
LDECv5g02882	LdNA_10403	Cullin-2; Mus musculus 
LDECv5g02883	LdNA_10402	Neuronal synaptobrevin; Drosophila melanogaster 
LDECv5g02884	LdNA_10401	Large ribosomal subunit protein P2; Branchiostoma floridae 
LDECv5g02885	LdNA_10400	Coiled-coil domain-containing protein 42 homolog; Monosiga brevicollis 
LDECv5g02886	LdNA_10397	Coiled-coil domain-containing protein 42; Bos taurus 
LDECv5g02887	LdNA_10396	Protein ALP1-like; Arabidopsis thaliana 
LDECv5g02888	LdNA_10395	Cysteine-rich PDZ-binding protein; Danio rerio 
LDECv5g02889	LdNA_10391	Periaxin; Rattus norvegicus 
LDECv5g02890	LdNA_10392	-
LDECv5g02891	LdNA_10389	-
LDECv5g02892	LdNA_10388	PiggyBac transposable element-derived protein 3; Homo sapiens 
LDECv5g02893	LdNA_10387	Clathrin heavy chain; Drosophila melanogaster 
LDECv5g02894	LdNA_10386	Coiled-coil domain-containing protein 63; Homo sapiens 
LDECv5g02895	LdNA_10385	Coiled-coil domain-containing protein 63; Bos taurus 
LDECv5g02896	LdNA_10384	Zinc finger protein 142; Homo sapiens 
LDECv5g02898	LdNA_10381	Bicaudal D-related protein homolog; Drosophila melanogaster 
LDECv5g02899	LdNA_10382	-
LDECv5g02900	LdNA_10380	E3 ubiquitin-protein ligase sina; Schistosoma mansoni 
LDECv5g02903	LdNA_10379	E3 ubiquitin-protein ligase sina; Schistosoma mansoni 
LDECv5g02904	LdNA_10378	Mitochondrial ribonuclease P catalytic subunit; Homo sapiens 
LDECv5g02905	LdNA_10377	Large ribosomal subunit protein eL22; Caenorhabditis elegans 
LDECv5g02906	LdNA_10373	Calsyntenin-1; Drosophila melanogaster 
LDECv5g02907	LdNA_10376	"Glucose dehydrogenase [FAD, quinone]; Drosophila pseudoobscura pseudoobscura "
LDECv5g02909	LdNA_10372	-
LDECv5g02910	LdNA_10371	Dynein axonemal assembly factor 11; Danio rerio 
LDECv5g02911	LdNA_10370	"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta; Mus musculus "
LDECv5g02912	LdNA_10368	-
LDECv5g02913	LdNA_10367	Phospholipid-transporting ATPase ABCA3; Rattus norvegicus 
LDECv5g02914	LdNA_10366	Eukaryotic translation initiation factor 2 subunit 1; Drosophila melanogaster 
LDECv5g02915	LdNA_10364	BRISC complex subunit FAM175B; Camponotus floridanus 
LDECv5g02916	LdNA_10363	DNA excision repair protein ERCC-6; Homo sapiens 
LDECv5g02917	LdNA_10359	-
LDECv5g02919	LdNA_10357	Protein FAM151A; Homo sapiens 
LDECv5g02920	LdNA_10354	-
LDECv5g02921	LdNA_10349	Protein takeout; Drosophila melanogaster 
LDECv5g02922	LdNA_10348	Circadian clock-controlled protein daywake; Drosophila melanogaster 
LDECv5g02923	LdNA_10347	Protein takeout; Drosophila melanogaster 
LDECv5g02925	LdNA_10345	Protein takeout; Drosophila melanogaster 
LDECv5g02926	LdNA_10344	UDP-glucosyltransferase 2; Dactylopius coccus 
LDECv5g02927	LdNA_10343	-
LDECv5g02928	LdNA_10342	-
LDECv5g02929	LdNA_10341	Facilitated trehalose transporter Tret1; Culex quinquefasciatus 
LDECv5g02930	LdNA_10340	-
LDECv5g02931	LdNA_10339	-
LDECv5g02932	LdNA_10338	-
LDECv5g02933	LdNA_10336	Calcium/calmodulin-dependent protein kinase kinase; Caenorhabditis elegans 
LDECv5g02934	LdNA_10335	Translational activator of cytochrome c oxidase 1; Homo sapiens 
LDECv5g02935	LdNA_10334	Protein takeout; Drosophila melanogaster 
LDECv5g02936	LdNA_10333	Actin-related protein 2/3 complex subunit 3; Homo sapiens 
LDECv5g02937	LdNA_10332	Farnesol dehydrogenase; Aedes aegypti 
LDECv5g02939	LdNA_10328	Cytochrome P450 6a8; Drosophila melanogaster 
LDECv5g02940	LdNA_10326	Thioredoxin-interacting protein; Mus musculus 
LDECv5g02941	LdNA_10325	Arrestin domain-containing protein 3; Rattus norvegicus 
LDECv5g02942	LdNA_10324	Arrestin domain-containing protein 3; Rattus norvegicus 
LDECv5g02944	LdNA_10319	Leucine-rich repeat-containing protein 15; Rattus norvegicus 
LDECv5g02945	LdNA_10318	Arrestin domain-containing protein 4; Mus musculus 
LDECv5g02946	LdNA_10317	Farnesol dehydrogenase; Aedes aegypti 
LDECv5g02947	LdNA_10316	Prestin; Mus musculus 
LDECv5g02948	LdNA_10315	DNA primase large subunit; Drosophila melanogaster 
LDECv5g02949	LdNA_10314	DNA-directed RNA polymerase I subunit RPA1; Mus musculus 
LDECv5g02950	LdNA_10313	-
LDECv5g02951	LdNA_10312	SH3 domain-binding glutamic acid-rich protein homolog; Drosophila melanogaster 
LDECv5g02952	LdNA_10311	Polypeptide N-acetylgalactosaminyltransferase 35A; Drosophila melanogaster 
LDECv5g02953	LdNA_10310	Nuclear receptor subfamily 2 group E member 1; Gallus gallus 
LDECv5g02954	LdNA_10309	Ribosomal RNA-processing protein 7 homolog A; Homo sapiens 
LDECv5g02955	LdNA_10308	RE1-silencing transcription factor; Danio rerio 
LDECv5g02956	LdNA_10307	Endothelial zinc finger protein induced by tumor necrosis factor alpha; Homo sapiens 
LDECv5g02957	LdNA_10305	Zinc finger protein 226; Homo sapiens 
LDECv5g02958	LdNA_10304	Zinc finger protein 678; Homo sapiens 
LDECv5g02960	LdNA_10297	Period circadian protein (Fragment); Drosophila willistoni 
LDECv5g02961	LdNA_10293	-
LDECv5g02962	LdNA_10290	Voltage-dependent L-type calcium channel subunit beta-4; Rattus norvegicus 
LDECv5g02966	LdNA_10281	Protein abrupt; Drosophila melanogaster 
LDECv5g02967	LdNA_10271	-
LDECv5g02968	LdNA_10270	-
LDECv5g02969	LdNA_10268	-
LDECv5g02972	LdNA_18773	-
LDECv5g02974	LdNA_10234	-
LDECv5g02975	LdNA_10254	"Longitudinals lacking protein, isoforms A/B/D/L; Drosophila melanogaster "
LDECv5g02976	LdNA_10226	-
LDECv5g02978	LdNA_10218	"Longitudinals lacking protein, isoforms A/B/D/L; Drosophila melanogaster "
LDECv5g02979	LdNA_10213	-
LDECv5g02981	LdNA_10211	"Longitudinals lacking protein, isoform G; Drosophila melanogaster "
LDECv5g02982	LdNA_10210	"Longitudinals lacking protein, isoforms A/B/D/L; Drosophila melanogaster "
LDECv5g02983	LdNA_10208	Small ribosomal subunit protein eS12; Drosophila melanogaster 
LDECv5g02984	LdNA_10193	Protein bric-a-brac 1; Drosophila melanogaster 
LDECv5g02985	LdNA_10192	U6 snRNA phosphodiesterase 1; Rattus norvegicus 
LDECv5g02986	LdNA_10191	Engulfment and cell motility protein 1; Homo sapiens 
LDECv5g02987	LdNA_10190	Meiotic recombination protein DMC1/LIM15 homolog; Homo sapiens 
LDECv5g02988	LdNA_10188	Ethanolamine-phosphate cytidylyltransferase; Bos taurus 
LDECv5g02989	LdNA_10187	Discoidin domain-containing receptor 2; Mus musculus 
LDECv5g02990	LdNA_10184	WD repeat-containing protein 47; Homo sapiens 
LDECv5g02992	LdNA_10177	RNA-binding protein squid; Drosophila melanogaster 
LDECv5g02993	LdNA_10175	Protein peanut; Drosophila melanogaster 
LDECv5g02994	LdNA_10173	Phosphatidylinositol-glycan biosynthesis class X protein; Homo sapiens 
LDECv5g02995	LdNA_10172	Zinc finger protein 316; Mus musculus 
LDECv5g02996	LdNA_10171	U6 snRNA-associated Sm-like protein LSm5; Pongo abelii 
LDECv5g02997	LdNA_10170	Autophagy-related protein 13 homolog; Drosophila melanogaster 
LDECv5g02998	LdNA_10169	"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase; Rattus norvegicus "
LDECv5g02999	LdNA_10168	Pre-mRNA-splicing factor CWC22 homolog; Drosophila melanogaster 
LDECv5g03000	LdNA_10167	EF-hand domain-containing family member B; Mus musculus 
LDECv5g03001	LdNA_10166	RNA-binding protein 12; Pongo abelii 
LDECv5g03002	LdNA_10165	BLOC-3 complex member HPS4; Homo sapiens 
LDECv5g03003	LdNA_10164	E3 ubiquitin-protein ligase RFWD3; Mus musculus 
LDECv5g03004	LdNA_10163	Ubiquitin-conjugating enzyme E2-22 kDa; Drosophila melanogaster 
LDECv5g03006	LdNA_10161	-
LDECv5g03007	LdNA_10160	SCO-spondin; Gallus gallus 
LDECv5g03008	LdNA_10157	Intermembrane lipid transfer protein Vps13D; Drosophila melanogaster 
LDECv5g03009	LdNA_10156	Actin-binding LIM protein 1; Homo sapiens 
LDECv5g03010	LdNA_10155	Mitoferrin-2; Danio rerio 
LDECv5g03011	LdNA_10153	Sideroflexin-3; Homo sapiens 
LDECv5g03012	LdNA_10152	-
LDECv5g03013	LdNA_10151	Solute carrier family 35 member E1 homolog; Drosophila melanogaster 
LDECv5g03014	LdNA_10146	Glutamate receptor-interacting protein 1; Mus musculus 
LDECv5g03015	LdNA_10147	TLC domain-containing protein 5; Danio rerio 
LDECv5g03016	LdNA_10137	Sodium channel protein Nach; Drosophila ananassae 
LDECv5g03017	LdNA_10133	Putative protein kinase C delta type homolog; Drosophila melanogaster 
LDECv5g03018	LdNA_10134	Dynein light chain Tctex-type 5-B (Fragment); Xenopus laevis 
