Ldecemlineata	Tcastaneum
LDECv5g00166	TC000539
LDECv5g00167	TC001037
LDECv5g00168	TC000538
LDECv5g00169	TC011011
LDECv5g00170	TC011012
LDECv5g00173	TC011468
LDECv5g00174	TC011013
LDECv5g00175	TC034902
LDECv5g00177	TC000565
LDECv5g00189	TC000562
LDECv5g00195	TC001010
LDECv5g00199	TC001009
LDECv5g00207	TC000558
LDECv5g00208	TC001014
LDECv5g00210	TC001100
LDECv5g00211	TC011079
LDECv5g00212	TC011434
LDECv5g00213	TC000677
LDECv5g00214	TC000679
LDECv5g00215	TC000876
LDECv5g00217	TC031902
LDECv5g00221	TC000685
LDECv5g00222	TC002072
LDECv5g00238	TC004812
LDECv5g00241	TC000424
LDECv5g00242	TC032181
LDECv5g00243	TC001144
LDECv5g00244	TC000423
LDECv5g00245	TC001146
LDECv5g00246	TC001072
LDECv5g00247	TC034564
LDECv5g00248	TC032186
LDECv5g00249	TC004734
LDECv5g00250	TC032185
LDECv5g00251	TC000297
LDECv5g00252	TC030585
LDECv5g00253	TC000275
LDECv5g00259	TC001266
LDECv5g00260	TC032236
LDECv5g00261	TC001264
LDECv5g00262	TC000286
LDECv5g00263	TC000296
LDECv5g00264	TC000274
LDECv5g00265	TC010140
LDECv5g00266	TC000974
LDECv5g00268	TC001103
LDECv5g00269	TC001105
LDECv5g00271	TC011645
LDECv5g00272	TC001104
LDECv5g00273	TC000462
LDECv5g00274	TC032169
LDECv5g00276	TC000466
LDECv5g00277	TC001101
LDECv5g00278	TC000467
LDECv5g00279	TC034704
LDECv5g00280	TC000308
LDECv5g00281	TC034702
LDECv5g00283	TC000219
LDECv5g00284	TC031885
LDECv5g00285	TC001326
LDECv5g00288	TC001325
LDECv5g00289	TC000218
LDECv5g00290	TC032256
LDECv5g00291	TC001328
LDECv5g00292	TC000217
LDECv5g00294	TC015892
LDECv5g00295	TC001329
LDECv5g00296	TC001330
LDECv5g00298	TC000215
LDECv5g00300	TC000209
LDECv5g00301	TC001336
LDECv5g00302	TC000208
LDECv5g00304	TC001338
LDECv5g00305	TC000301
LDECv5g00309	TC032258
LDECv5g00310	TC001334
LDECv5g00311	TC005135
LDECv5g00313	TC031795
LDECv5g00318	TC000511
LDECv5g00321	TC000514
LDECv5g00322	TC032155
LDECv5g00324	TC000518
LDECv5g00326	TC001243
LDECv5g00327	TC032222
LDECv5g00334	TC004373
LDECv5g00336	TC011201
LDECv5g00337	TC000542
LDECv5g00340	TC032146
LDECv5g00341	TC001051
LDECv5g00342	TC001257
LDECv5g00348	TC030021
LDECv5g00349	TC000822
LDECv5g00352	TC000508
LDECv5g00354	TC001069
LDECv5g00355	TC034559
LDECv5g00356	TC032227
LDECv5g00357	TC014054
LDECv5g00360	TC004426
LDECv5g00362	TC004364
LDECv5g00368	TC004839
LDECv5g00369	TC008984
LDECv5g00370	TC000393
LDECv5g00371	TC001165
LDECv5g00372	TC001164
LDECv5g00373	TC004842
LDECv5g00375	TC031005
LDECv5g00377	TC000574
LDECv5g00378	TC001000
LDECv5g00379	TC030994
LDECv5g00382	TC001001
LDECv5g00387	TC000312
LDECv5g00391	TC011311
LDECv5g00392	TC004365
LDECv5g00394	TC031453
LDECv5g00395	TC011179
LDECv5g00400	TC004399
LDECv5g00401	TC004400
LDECv5g00405	TC001359
LDECv5g00406	TC004401
LDECv5g00407	TC014046
LDECv5g00408	TC001357
LDECv5g00409	TC034372
LDECv5g00423	TC000183
LDECv5g00422	TC001358
LDECv5g00424	TC001366
LDECv5g00425	TC004840
LDECv5g00426	TC004550
LDECv5g00427	TC000175
LDECv5g00432	TC001367
LDECv5g00433	TC011176
LDECv5g00434	TC011316
LDECv5g00435	TC004387
LDECv5g00437	TC000570
LDECv5g00440	TC001057
LDECv5g00445	TC032152
LDECv5g00447	TC000520
LDECv5g00450	TC000521
LDECv5g00459	TC004357
LDECv5g00461	TC009996
LDECv5g00462	TC000391
LDECv5g00464	TC011171
LDECv5g00467	TC011170
LDECv5g00470	TC011165
LDECv5g00471	TC031367
LDECv5g00472	TC011163
LDECv5g00483	TC000619
LDECv5g00484	TC000630
LDECv5g00485	TC011204
LDECv5g00487	TC001161
LDECv5g00495	TC016200
LDECv5g00496	TC011048
LDECv5g00498	TC001034
LDECv5g00499	TC002967
LDECv5g00501	TC004389
LDECv5g00502	TC011313
LDECv5g00503	TC011312
LDECv5g00506	TC004391
LDECv5g00507	TC004392
LDECv5g00511	TC004359
LDECv5g00512	TC030733
LDECv5g00513	TC001237
LDECv5g00515	TC032221
LDECv5g00520	TC030948
LDECv5g00521	TC031791
LDECv5g00524	TC005120
LDECv5g00525	TC005129
LDECv5g00528	TC009293
LDECv5g00529	TC016108
LDECv5g00531	TC016126
LDECv5g00532	TC016111
LDECv5g00533	TC016110
LDECv5g00537	TC015698
LDECv5g00538	TC014986
LDECv5g00539	TC033166
LDECv5g00541	TC011263
LDECv5g00543	TC015696
LDECv5g00544	TC014988
LDECv5g00550	TC014987
LDECv5g00551	TC016093
LDECv5g00552	TC016079
LDECv5g00556	TC031338
LDECv5g00561	TC031337
LDECv5g00562	TC016087
LDECv5g00564	TC016229
LDECv5g00565	TC016227
LDECv5g00567	TC016226
LDECv5g00573	TC016203
LDECv5g00574	TC016223
LDECv5g00580	TC016224
LDECv5g00582	TC016205
LDECv5g00585	TC001477
LDECv5g00587	TC001099
LDECv5g00588	TC004236
LDECv5g00589	TC004244
LDECv5g00591	TC004451
LDECv5g00594	TC004440
LDECv5g00595	TC006191
LDECv5g00618	TC004841
LDECv5g00636	TC031955
LDECv5g00637	TC000749
LDECv5g00638	TC000823
LDECv5g00639	TC000875
LDECv5g00640	TC001510
LDECv5g00641	TC001544
LDECv5g00642	TC000620
LDECv5g00643	TC030691
LDECv5g00645	TC004234
LDECv5g00646	TC035013
LDECv5g00647	TC004245
LDECv5g00648	TC004235
LDECv5g00650	TC010699
LDECv5g00653	TC012945
LDECv5g00654	TC004237
LDECv5g00656	TC034903
LDECv5g00657	TC001478
LDECv5g00658	TC016401
LDECv5g00660	TC011457
LDECv5g00661	TC030579
LDECv5g00662	TC011945
LDECv5g00664	TC004382
LDECv5g00665	TC007683
LDECv5g00666	TC011100
LDECv5g00668	TC011101
LDECv5g00670	TC011343
LDECv5g00671	TC001175
LDECv5g00673	TC000403
LDECv5g00674	TC011226
LDECv5g00676	TC000398
LDECv5g00680	TC011140
LDECv5g00681	TC001848
LDECv5g00683	TC011027
LDECv5g00684	TC002668
LDECv5g00685	TC001960
LDECv5g00687	TC004949
LDECv5g00689	TC002673
LDECv5g00692	TC002672
LDECv5g00694	TC003766
LDECv5g00695	TC003767
LDECv5g00696	TC003773
LDECv5g00697	TC000170
LDECv5g00699	TC000169
LDECv5g00700	TC000168
LDECv5g00713	TC004674
LDECv5g00716	TC001370
LDECv5g00718	TC006549
LDECv5g00719	TC005574
LDECv5g00723	TC005902
LDECv5g00725	TC005306
LDECv5g00728	TC005545
LDECv5g00729	TC005597
LDECv5g00731	TC005609
LDECv5g00738	TC005606
LDECv5g00739	TC002428
LDECv5g00740	TC032676
LDECv5g00743	TC006680
LDECv5g00744	TC005460
LDECv5g00745	TC006678
LDECv5g00746	TC006751
LDECv5g00747	TC034178
LDECv5g00748	TC005550
LDECv5g00750	TC005596
LDECv5g00751	TC005618
LDECv5g00752	TC006494
LDECv5g00753	TC005458
LDECv5g00754	TC005459
LDECv5g00756	TC005388
LDECv5g00779	TC006689
LDECv5g00780	TC005305
LDECv5g00781	TC004314
LDECv5g00782	TC005423
LDECv5g00783	TC006725
LDECv5g00787	TC006426
LDECv5g00790	TC006428
LDECv5g00791	TC005895
LDECv5g00793	TC006259
LDECv5g00794	TC006258
LDECv5g00795	TC005894
LDECv5g00796	TC006214
LDECv5g00799	TC005495
LDECv5g00800	TC006139
LDECv5g00802	TC006330
LDECv5g00804	TC030639
LDECv5g00805	TC034123
LDECv5g00806	TC006559
LDECv5g00807	TC002173
LDECv5g00808	TC031264
LDECv5g00810	TC006647
LDECv5g00811	TC002177
LDECv5g00818	TC034156
LDECv5g00820	TC034155
LDECv5g00821	TC006656
LDECv5g00822	TC005470
LDECv5g00825	TC005471
LDECv5g00826	TC006653
LDECv5g00827	TC006652
LDECv5g00829	TC005472
LDECv5g00832	TC005473
LDECv5g00835	TC005475
LDECv5g00836	TC005476
LDECv5g00838	TC006662
LDECv5g00839	TC006009
LDECv5g00841	TC015977
LDECv5g00842	TC005511
LDECv5g00843	TC005512
LDECv5g00844	TC034947
LDECv5g00845	TC006276
LDECv5g00846	TC034132
LDECv5g00847	TC015993
LDECv5g00848	TC005316
LDECv5g00849	TC015990
LDECv5g00850	TC015981
LDECv5g00851	TC033934
LDECv5g00853	TC034052
LDECv5g00854	TC006356
LDECv5g00858	TC006302
LDECv5g00859	TC005841
LDECv5g00860	TC006301
LDECv5g00862	TC000102
LDECv5g00864	TC002602
LDECv5g00865	TC003825
LDECv5g00866	TC003826
LDECv5g00873	TC032638
LDECv5g00876	TC000101
LDECv5g00877	TC012535
LDECv5g00879	TC006278
LDECv5g00880	TC031673
LDECv5g00881	TC003574
LDECv5g00882	TC003148
LDECv5g00888	TC032581
LDECv5g00890	TC003870
LDECv5g00893	TC002545
LDECv5g00894	TC002838
LDECv5g00899	TC002527
LDECv5g00901	TC002361
LDECv5g00902	TC032621
LDECv5g00906	TC003419
LDECv5g00907	TC003524
LDECv5g00909	TC015923
LDECv5g00912	TC002837
LDECv5g00913	TC032425
LDECv5g00918	TC002836
LDECv5g00921	TC002831
LDECv5g00922	TC002830
LDECv5g00926	TC032428
LDECv5g00938	TC031752
LDECv5g00939	TC031751
LDECv5g00941	TC002363
LDECv5g00944	TC002343
LDECv5g00945	TC031753
LDECv5g00947	TC006239
LDECv5g00948	TC006281
LDECv5g00949	TC005868
LDECv5g00950	TC006280
LDECv5g00951	TC005869
LDECv5g00953	TC034146
LDECv5g00954	TC034145
LDECv5g00956	TC005486
LDECv5g00957	TC005903
LDECv5g00958	TC006260
LDECv5g00959	TC006425
LDECv5g00961	TC000100
LDECv5g00962	TC002288
LDECv5g00965	TC004015
LDECv5g00966	TC002407
LDECv5g00968	TC005769
LDECv5g00969	TC005792
LDECv5g00970	TC034177
LDECv5g00971	TC005738
LDECv5g00973	TC006810
LDECv5g00974	TC006811
LDECv5g00975	TC005315
LDECv5g00977	TC006354
LDECv5g00979	TC005313
LDECv5g00982	TC007176
LDECv5g00983	TC005820
LDECv5g00984	TC005766
LDECv5g00985	TC006726
LDECv5g00987	TC006271
LDECv5g00989	TC006180
LDECv5g00990	TC006566
LDECv5g00991	TC005977
LDECv5g00992	TC006355
LDECv5g00993	TC005781
LDECv5g00994	TC006173
LDECv5g00995	TC005971
LDECv5g00996	TC007847
LDECv5g00997	TC006065
LDECv5g00998	TC006814
LDECv5g00999	TC005303
LDECv5g01000	TC006817
LDECv5g01001	TC005308
LDECv5g01002	TC014454
LDECv5g01004	TC005780
LDECv5g01006	TC002528
LDECv5g01009	TC006027
LDECv5g01011	TC002405
LDECv5g01012	TC002406
LDECv5g01014	TC005893
LDECv5g01029	TC010571
LDECv5g01030	TC003544
LDECv5g01031	TC034593
LDECv5g01033	TC009926
LDECv5g01037	TC002864
LDECv5g01040	TC003652
LDECv5g01041	TC006270
LDECv5g01042	TC000069
LDECv5g01044	TC000070
LDECv5g01045	TC000103
LDECv5g01047	TC005870
LDECv5g01048	TC034598
LDECv5g01049	TC006277
LDECv5g01050	TC032466
LDECv5g01052	TC034013
LDECv5g01053	TC005881
LDECv5g01054	TC006736
LDECv5g01056	TC030695
LDECv5g01057	TC005877
LDECv5g01058	TC030627
LDECv5g01060	TC030618
LDECv5g01061	TC005834
LDECv5g01062	TC002947
LDECv5g01063	TC031280
LDECv5g01065	TC002945
LDECv5g01066	TC003492
LDECv5g01067	TC003493
LDECv5g01068	TC002944
LDECv5g01069	TC005815
LDECv5g01070	TC006332
LDECv5g01075	TC003201
LDECv5g01080	TC016161
LDECv5g01081	TC003494
LDECv5g01082	TC032395
LDECv5g01083	TC002943
LDECv5g01084	TC032396
LDECv5g01085	TC003495
LDECv5g01086	TC002940
LDECv5g01087	TC006802
LDECv5g01088	TC005393
LDECv5g01089	TC000050
LDECv5g01090	TC000051
LDECv5g01091	TC000052
LDECv5g01092	TC000127
LDECv5g01093	TC000130
LDECv5g01094	TC000049
LDECv5g01097	TC009559
LDECv5g01098	TC002346
LDECv5g01099	TC000125
LDECv5g01101	TC002347
LDECv5g01103	TC002349
LDECv5g01105	TC032474
LDECv5g01106	TC000126
LDECv5g01108	TC000044
LDECv5g01109	TC000117
LDECv5g01110	TC000136
LDECv5g01113	TC000118
LDECv5g01114	TC000119
LDECv5g01115	TC000124
LDECv5g01116	TC000060
LDECv5g01117	TC032473
LDECv5g01121	TC000056
LDECv5g01122	TC003489
LDECv5g01123	TC000058
LDECv5g01124	TC000059
LDECv5g01125	TC002948
LDECv5g01126	TC010228
LDECv5g01127	TC002949
LDECv5g01134	TC013519
LDECv5g01135	TC014289
LDECv5g01136	TC014290
LDECv5g01137	TC014292
LDECv5g01138	TC014288
LDECv5g01139	TC013059
LDECv5g01141	TC013063
LDECv5g01143	TC013711
LDECv5g01144	TC010917
LDECv5g01145	TC013830
LDECv5g01146	TC014438
LDECv5g01147	TC013367
LDECv5g01149	TC013150
LDECv5g01150	TC014664
LDECv5g01151	TC033042
LDECv5g01152	TC013860
LDECv5g01153	TC034701
LDECv5g01154	TC013751
LDECv5g01158	TC013321
LDECv5g01159	TC013320
LDECv5g01160	TC013319
LDECv5g01162	TC013214
LDECv5g01165	TC013505
LDECv5g01166	TC014300
LDECv5g01167	TC014299
LDECv5g01169	TC014298
LDECv5g01170	TC014297
LDECv5g01171	TC010919
LDECv5g01172	TC013506
LDECv5g01173	TC033123
LDECv5g01174	TC001361
LDECv5g01175	TC013507
LDECv5g01176	TC013508
LDECv5g01178	TC033122
LDECv5g01179	TC014296
LDECv5g01181	TC031144
LDECv5g01182	TC013515
LDECv5g01183	TC014294
LDECv5g01186	TC013516
LDECv5g01187	TC014293
LDECv5g01188	TC013517
LDECv5g01189	TC013521
LDECv5g01193	TC013503
LDECv5g01194	TC014301
LDECv5g01196	TC013501
LDECv5g01198	TC013496
LDECv5g01203	TC010611
LDECv5g01204	TC013493
LDECv5g01206	TC013794
LDECv5g01207	TC013795
LDECv5g01208	TC005758
LDECv5g01210	TC033041
LDECv5g01212	TC013074
LDECv5g01214	TC014503
LDECv5g01215	TC013304
LDECv5g01216	TC014743
LDECv5g01217	TC013075
LDECv5g01218	TC014453
LDECv5g01219	TC033165
LDECv5g01289	TC014658
LDECv5g01290	TC014659
LDECv5g01291	TC013156
LDECv5g01292	TC033211
LDECv5g01293	TC014695
LDECv5g01294	TC014935
LDECv5g01295	TC015771
LDECv5g01297	TC013765
LDECv5g01298	TC014039
LDECv5g01299	TC033116
LDECv5g01301	TC013564
LDECv5g01302	TC014247
LDECv5g01303	TC013563
LDECv5g01304	TC033174
LDECv5g01307	TC014009
LDECv5g01308	TC010470
LDECv5g01310	TC012909
LDECv5g01311	TC014489
LDECv5g01314	TC004110
LDECv5g01315	TC004103
LDECv5g01319	TC004104
LDECv5g01321	TC031930
LDECv5g01322	TC010920
LDECv5g01324	TC010916
LDECv5g01326	TC013213
LDECv5g01328	TC014590
LDECv5g01329	TC030629
LDECv5g01330	TC014081
LDECv5g01331	TC013717
LDECv5g01332	TC031637
LDECv5g01333	TC013718
LDECv5g01336	TC013721
LDECv5g01337	TC014076
LDECv5g01338	TC013210
LDECv5g01339	TC013209
LDECv5g01348	TC013537
LDECv5g01351	TC014274
LDECv5g01352	TC013539
LDECv5g01353	TC014273
LDECv5g01354	TC013541
LDECv5g01355	TC014271
LDECv5g01356	TC013542
LDECv5g01357	TC013543
LDECv5g01359	TC013544
LDECv5g01360	TC013545
LDECv5g01361	TC014272
LDECv5g01364	TC014270
LDECv5g01365	TC014269
LDECv5g01366	TC033110
LDECv5g01368	TC014266
LDECv5g01370	TC014265
LDECv5g01371	TC013552
LDECv5g01372	TC014264
LDECv5g01377	TC013555
LDECv5g01378	TC012624
LDECv5g01379	TC008272
LDECv5g01380	TC014259
LDECv5g01381	TC014260
LDECv5g01383	TC014258
LDECv5g01393	TC013556
LDECv5g01394	TC014257
LDECv5g01395	TC014256
LDECv5g01397	TC014283
LDECv5g01399	TC013025
LDECv5g01400	TC013346
LDECv5g01401	TC014468
LDECv5g01402	TC013347
LDECv5g01403	TC014610
LDECv5g01404	TC014467
LDECv5g01406	TC014666
LDECv5g01407	TC013060
LDECv5g01410	TC010132
LDECv5g01411	TC033071
LDECv5g01413	TC034689
LDECv5g01414	TC013726
LDECv5g01415	TC010947
LDECv5g01418	TC033006
LDECv5g01419	TC010951
LDECv5g01422	TC010952
LDECv5g01424	TC003689
LDECv5g01429	TC034254
LDECv5g01430	TC012150
LDECv5g01431	TC012149
LDECv5g01432	TC012316
LDECv5g01439	TC012322
LDECv5g01444	TC032508
LDECv5g01445	TC034302
LDECv5g01446	TC032502
LDECv5g01449	TC032507
LDECv5g01451	TC032506
LDECv5g01452	TC012116
LDECv5g01453	TC006516
LDECv5g01454	TC012117
LDECv5g01456	TC012357
LDECv5g01457	TC012027
LDECv5g01464	TC004360
LDECv5g01465	TC011950
LDECv5g01472	TC010864
LDECv5g01473	TC031743
LDECv5g01475	TC002162
LDECv5g01476	TC031742
LDECv5g01477	TC016005
LDECv5g01480	TC014291
LDECv5g01481	TC005215
LDECv5g01482	TC034283
LDECv5g01484	TC006844
LDECv5g01485	TC012537
LDECv5g01486	TC012536
LDECv5g01487	TC034990
LDECv5g01488	TC012534
LDECv5g01489	TC011949
LDECv5g01490	TC012533
LDECv5g01491	TC012177
LDECv5g01498	TC013449
LDECv5g01499	TC012176
LDECv5g01500	TC011976
LDECv5g01503	TC008440
LDECv5g01505	TC012434
LDECv5g01509	TC007127
LDECv5g01514	TC011703
LDECv5g01516	TC012783
LDECv5g01521	TC006837
LDECv5g01531	TC001918
LDECv5g01532	TC034038
LDECv5g01533	TC031228
LDECv5g01534	TC012161
LDECv5g01535	TC012162
LDECv5g01536	TC001919
LDECv5g01538	TC031229
LDECv5g01541	TC034248
LDECv5g01542	TC012312
LDECv5g01545	TC002601
LDECv5g01547	TC034312
LDECv5g01548	TC012381
LDECv5g01549	TC011702
LDECv5g01551	TC012785
LDECv5g01554	TC011888
LDECv5g01555	TC034406
LDECv5g01557	TC034296
LDECv5g01560	TC012422
LDECv5g01561	TC012044
LDECv5g01562	TC012423
LDECv5g01565	TC012416
LDECv5g01566	TC012057
LDECv5g01567	TC012055
LDECv5g01568	TC012058
LDECv5g01570	TC013591
LDECv5g01571	TC012415
LDECv5g01572	TC012417
LDECv5g01573	TC012060
LDECv5g01574	TC012383
LDECv5g01575	TC012098
LDECv5g01577	TC012384
LDECv5g01578	TC012096
LDECv5g01583	TC011997
LDECv5g01584	TC011998
LDECv5g01596	TC034874
LDECv5g01598	TC012473
LDECv5g01599	TC012006
LDECv5g01600	TC008742
LDECv5g01602	TC012008
LDECv5g01603	TC012011
LDECv5g01608	TC034344
LDECv5g01613	TC012737
LDECv5g01614	TC031249
LDECv5g01615	TC011751
LDECv5g01616	TC011749
LDECv5g01617	TC011748
LDECv5g01618	TC012743
LDECv5g01624	TC011744
LDECv5g01626	TC012748
LDECv5g01628	TC034446
LDECv5g01630	TC012751
LDECv5g01632	TC001682
LDECv5g01636	TC012185
LDECv5g01637	TC012184
LDECv5g01638	TC034861
LDECv5g01639	TC012183
LDECv5g01640	TC012278
LDECv5g01641	TC002985
LDECv5g01642	TC003449
LDECv5g01644	TC012279
LDECv5g01645	TC014309
LDECv5g01646	TC033044
LDECv5g01647	TC012612
LDECv5g01648	TC011892
LDECv5g01649	TC011893
LDECv5g01651	TC003185
LDECv5g01653	TC011896
LDECv5g01654	TC012611
LDECv5g01655	TC034400
LDECv5g01660	TC012601
LDECv5g01661	TC011801
LDECv5g01672	TC031254
LDECv5g01674	TC011609
LDECv5g01675	TC012873
LDECv5g01676	TC004919
LDECv5g01677	TC011608
LDECv5g01679	TC011926
LDECv5g01681	TC012570
LDECv5g01686	TC012506
LDECv5g01689	TC031230
LDECv5g01694	TC012246
LDECv5g01697	TC011975
LDECv5g01699	TC011795
LDECv5g01700	TC011794
LDECv5g01701	TC012704
LDECv5g01705	TC012706
LDECv5g01706	TC011785
LDECv5g01713	TC011774
LDECv5g01722	TC012723
LDECv5g01729	TC012718
LDECv5g01740	TC012712
LDECv5g01741	TC011780
LDECv5g01742	TC034442
LDECv5g01743	TC011782
LDECv5g01744	TC012709
LDECv5g01745	TC011784
LDECv5g01746	TC011783
LDECv5g01747	TC012860
LDECv5g01750	TC011619
LDECv5g01754	TC011623
LDECv5g01755	TC001673
LDECv5g01760	TC031714
LDECv5g01762	TC012859
LDECv5g01763	TC001666
LDECv5g01765	TC001670
LDECv5g01766	TC001933
LDECv5g01767	TC034265
LDECv5g01773	TC001671
LDECv5g01776	TC001923
LDECv5g01777	TC001942
LDECv5g01778	TC006821
LDECv5g01779	TC012106
LDECv5g01787	TC034606
LDECv5g01788	TC012567
LDECv5g01789	TC030580
LDECv5g01792	TC031253
LDECv5g01795	TC012845
LDECv5g01796	TC012848
LDECv5g01798	TC011666
LDECv5g01799	TC012844
LDECv5g01800	TC012843
LDECv5g01805	TC012512
LDECv5g01806	TC016291
LDECv5g01838	TC012787
LDECv5g01840	TC011697
LDECv5g01841	TC011696
LDECv5g01842	TC011695
LDECv5g01845	TC012793
LDECv5g01846	TC011692
LDECv5g01848	TC034460
LDECv5g01853	TC012797
LDECv5g01854	TC011691
LDECv5g01855	TC011690
LDECv5g01856	TC011815
LDECv5g01857	TC011979
LDECv5g01858	TC034734
LDECv5g01860	TC012443
LDECv5g01861	TC012032
LDECv5g01866	TC012034
LDECv5g01867	TC012708
LDECv5g01868	TC012436
LDECv5g01869	TC012437
LDECv5g01871	TC015329
LDECv5g01874	TC012834
LDECv5g01875	TC006192
LDECv5g01877	TC010769
LDECv5g01882	TC010636
LDECv5g01883	TC012302
LDECv5g01884	TC012468
LDECv5g01885	TC012037
LDECv5g01886	TC012038
LDECv5g01887	TC012866
LDECv5g01888	TC012300
LDECv5g01889	TC003499
LDECv5g01890	TC010612
LDECv5g01891	TC012861
LDECv5g01892	TC011617
LDECv5g01893	TC001409
LDECv5g01894	TC001417
LDECv5g01896	TC012241
LDECv5g01897	TC012805
LDECv5g01898	TC034463
LDECv5g01901	TC011675
LDECv5g01904	TC011677
LDECv5g01905	TC012876
LDECv5g01907	TC012366
LDECv5g01908	TC012435
LDECv5g01909	TC004395
LDECv5g01912	TC010559
LDECv5g01913	TC010489
LDECv5g01914	TC000095
LDECv5g01915	TC008530
LDECv5g01916	TC012270
LDECv5g01917	TC012269
LDECv5g01918	TC012196
LDECv5g01919	TC032528
LDECv5g01921	TC015882
LDECv5g01922	TC015880
LDECv5g01923	TC015879
LDECv5g01924	TC001680
LDECv5g01925	TC034294
LDECv5g01926	TC030574
LDECv5g01928	TC012616
LDECv5g01929	TC034405
LDECv5g01932	TC006824
LDECv5g01942	TC005212
LDECv5g01943	TC005224
LDECv5g01955	TC012257
LDECv5g01962	TC012786
LDECv5g01965	TC034275
LDECv5g01966	TC016280
LDECv5g01975	TC012851
LDECv5g01976	TC012852
LDECv5g01980	TC010990
LDECv5g01982	TC010967
LDECv5g01983	TC010992
LDECv5g01984	TC011723
LDECv5g01986	TC011944
LDECv5g01988	TC012545
LDECv5g01989	TC011942
LDECv5g01990	TC012546
LDECv5g01991	TC012547
LDECv5g01992	TC012548
LDECv5g01993	TC011941
LDECv5g01994	TC012549
LDECv5g01996	TC012550
LDECv5g02000	TC012213
LDECv5g02001	TC012252
LDECv5g02002	TC011829
LDECv5g02011	TC012370
LDECv5g02012	TC011713
LDECv5g02013	TC012778
LDECv5g02022	TC012842
LDECv5g02023	TC012218
LDECv5g02025	TC011615
LDECv5g02026	TC012735
LDECv5g02027	TC012736
LDECv5g02028	TC011757
LDECv5g02029	TC012509
LDECv5g02030	TC011970
LDECv5g02033	TC012510
LDECv5g02034	TC011968
LDECv5g02035	TC011967
LDECv5g02036	TC012511
LDECv5g02038	TC012835
LDECv5g02040	TC011712
LDECv5g02041	TC011711
LDECv5g02042	TC011710
LDECv5g02048	TC034453
LDECv5g02049	TC011709
LDECv5g02050	TC011686
LDECv5g02051	TC011685
LDECv5g02052	TC011684
LDECv5g02056	TC012809
LDECv5g02057	TC012190
LDECv5g02058	TC012191
LDECv5g02059	TC012275
LDECv5g02060	TC012192
LDECv5g02061	TC012274
LDECv5g02063	TC014327
LDECv5g02064	TC013470
LDECv5g02067	TC013474
LDECv5g02068	TC013789
LDECv5g02070	TC014312
LDECv5g02071	TC013490
LDECv5g02072	TC012040
LDECv5g02073	TC012041
LDECv5g02074	TC012429
LDECv5g02075	TC012657
LDECv5g02076	TC001674
LDECv5g02077	TC012803
LDECv5g02078	TC012372
LDECv5g02079	TC012368
LDECv5g02080	TC012367
LDECv5g02081	TC012867
LDECv5g02082	TC012868
LDECv5g02086	TC034322
LDECv5g02087	TC012066
LDECv5g02094	TC016287
LDECv5g02095	TC016288
LDECv5g02096	TC016274
LDECv5g02098	TC012411
LDECv5g02099	TC012163
LDECv5g02103	TC002599
LDECv5g02106	TC012212
LDECv5g02107	TC031227
LDECv5g02110	TC007437
LDECv5g02150	TC012409
LDECv5g02185	TC014742
LDECv5g02186	TC014741
LDECv5g02189	TC010433
LDECv5g02191	TC015451
LDECv5g02194	TC014737
LDECv5g02195	TC013076
LDECv5g02214	TC014775
LDECv5g02216	TC013034
LDECv5g02224	TC013078
LDECv5g02225	TC014774
LDECv5g02229	TC031538
LDECv5g02233	TC014566
LDECv5g02246	TC002690
LDECv5g02248	TC012898
LDECv5g02256	TC012896
LDECv5g02257	TC015432
LDECv5g02258	TC015433
LDECv5g02259	TC015030
LDECv5g02260	TC015037
LDECv5g02263	TC014960
LDECv5g02275	TC006061
LDECv5g02277	TC015064
LDECv5g02278	TC015385
LDECv5g02282	TC030747
LDECv5g02283	TC015544
LDECv5g02288	TC033399
LDECv5g02289	TC015111
LDECv5g02291	TC015110
LDECv5g02293	TC015754
LDECv5g02294	TC004146
LDECv5g02298	TC006124
LDECv5g02300	TC033960
LDECv5g02303	TC006118
LDECv5g02304	TC015322
LDECv5g02306	TC008817
LDECv5g02307	TC004683
LDECv5g02308	TC033419
LDECv5g02309	TC030688
LDECv5g02313	TC031747
LDECv5g02316	TC015142
LDECv5g02317	TC015566
LDECv5g02320	TC006127
LDECv5g02321	TC015755
LDECv5g02322	TC006128
LDECv5g02325	TC014939
LDECv5g02328	TC033431
LDECv5g02329	TC015727
LDECv5g02330	TC014943
LDECv5g02333	TC033435
LDECv5g02336	TC014947
LDECv5g02338	TC033136
LDECv5g02339	TC014342
LDECv5g02340	TC013782
LDECv5g02341	TC033135
LDECv5g02342	TC014345
LDECv5g02343	TC013448
LDECv5g02344	TC014014
LDECv5g02345	TC006703
LDECv5g02346	TC013781
LDECv5g02350	TC014013
LDECv5g02354	TC013785
LDECv5g02355	TC015906
LDECv5g02356	TC033046
LDECv5g02360	TC013787
LDECv5g02370	TC013947
LDECv5g02371	TC014809
LDECv5g02372	TC014810
LDECv5g02374	TC013000
LDECv5g02376	TC011563
LDECv5g02377	TC009113
LDECv5g02378	TC009716
LDECv5g02380	TC009114
LDECv5g02381	TC009721
LDECv5g02382	TC033645
LDECv5g02383	TC009713
LDECv5g02384	TC033646
LDECv5g02385	TC030549
LDECv5g02386	TC009939
LDECv5g02387	TC009111
LDECv5g02388	TC009720
LDECv5g02389	TC009110
LDECv5g02390	TC009719
LDECv5g02391	TC008904
