Geneid	Uniprot_annotation	Interproscan_annotation	GO_term	KEGG_annotation
LDECv5g00358	NA	7tm Chemosensory receptor|7TM chemosensory receptor	GO:0007635, GO:0008049, GO:0030424, GO:0030425, GO:0043025, GO:0016020, GO:0050909, GO:0005575	NA
LDECv5g00359	Neuropathy target esterase sws; Drosophila melanogaster	CAP_ED|Cyclic nucleotide-binding domain|Pat_PNPLA6_PNPLA7|FabD/lysophospholipase-like|Acyl transferase/acyl hydrolase/lysophospholipase|cAMP-binding domain-like|Cyclic nucleotide-binding domain superfamily|Jelly Rolls|RmlC-like jelly roll fold|neuropathy target esterase isoform X2|neuropathy target esterase isoform X1|Cytosolic phospholipase A2 catalytic domain|Patatin-like phospholipase|Patatin-like phospholipase domain|cAMP/cGMP binding motif profile.|Cyclic nucleotide-binding domain|Neuropathy target esterase sws|Cyclic nucleotide-binding domain|cnmp_10|Cyclic nucleotide-binding domain|Neuropathy Target Esterase family P-loop like domain|Lysophospholipase NTE1-like, P-loop domain|Uncharacterized protein family UPF0028 signature.|Lysophospholipase patatin, conserved site|Patatin-like phospholipase (PNPLA) domain profile.|Patatin-like phospholipase domain	GO:0004622, GO:0005783, GO:0006629, GO:0046470, GO:0008150, GO:0052689, GO:0009056, GO:0003824, GO:0009987, GO:0005575, GO:0005789, GO:0034349, GO:0006650, GO:0016787, GO:0016788, GO:0016298, GO:0016042, GO:0016020, GO:0008152, GO:0003674, GO:0051402, GO:0031090, GO:0004620, GO:0044238, GO:0043231, GO:0043229, GO:0046486, GO:0008219, GO:0043226, GO:0001933, GO:0043227, GO:0006915, GO:0071840, GO:0006644, GO:0051179	K14676
LDECv5g00360	Histone-lysine N-methyltransferase SMYD3; Mus musculus	Zinc finger MYND-type profile.|Zinc finger, MYND-type|SET domain|SET domain superfamily|MYND finger|Zinc finger, MYND-type|HIT/MYND zinc finger-like|Tetratricopeptide repeat domain|Tetratricopeptide-like helical domain superfamily|Zinc finger MYND-type signature.|Zinc finger, MYND-type	GO:0005634, GO:0005515, GO:0005488, GO:0043169, GO:0043167, GO:0046872, GO:0043565, GO:0016740, GO:0003674, GO:1901363	K11426
LDECv5g00361	KAT8 regulatory NSL complex subunit 3; Mus musculus	alpha/beta hydrolase|Alpha/Beta hydrolase fold|alpha/beta-Hydrolases|Alpha/Beta hydrolase fold	GO:0044545, GO:0045944, GO:0008150, GO:0009987, GO:0005575, GO:0003674, GO:0005488, GO:0016043, GO:0071840	K16719
LDECv5g00362	Heterogeneous nuclear ribonucleoprotein H; Mus musculus	Heterogeneous nuclear ribonucleoprotein h3 isoform|RNA-binding domain, RBD|RNA-binding domain superfamily|Eukaryotic RNA Recognition Motif (RRM) profile.|RNA recognition motif domain|Nucleotide-binding alpha-beta plait domain superfamily|RRM1_hnRNPH_GRSF1_like|RRM3_hnRNPH_CRSF1_like|rrm1_1|RNA recognition motif domain|RRM domain|RNA recognition motif domain	GO:0003676, GO:0003723, GO:0016070, GO:0005488, GO:0065007, GO:0008150, GO:0009987, GO:0005575, GO:1901363, GO:0043231, GO:0003729, GO:0043170, GO:0043227, GO:0008152, GO:0003674, GO:0050789, GO:0019222, GO:0005634, GO:0050794, GO:0006396, GO:0016071, GO:0006397, GO:0090304, GO:0044238, GO:0043229, GO:0043226, GO:0032991, GO:0060255, GO:0006139, GO:0005737	K12898
LDECv5g00363	NA	PHD_SF|FYVE/PHD zinc finger|Zinc finger, FYVE/PHD-type	GO:0005488, GO:0043169, GO:0043167, GO:0046872, GO:0071840, GO:0005575, GO:0003674, GO:0008150, GO:0016043, GO:0046914	NA
LDECv5g00364	NA	NA	NA	NA
LDECv5g00365	RNA-binding protein 1; Drosophila melanogaster	RRM_SRSF3_like|Nucleotide-binding alpha-beta plait domain superfamily|RNA recognition motif|RNA recognition motif domain|RNA-binding domain, RBD|RNA-binding domain superfamily|Eukaryotic RNA Recognition Motif (RRM) profile.|RNA recognition motif domain|rrm1_1|RNA recognition motif domain|RNA-binding protein 1	GO:0003723, GO:0003676, GO:0071103, GO:0031123, GO:0016070, GO:0006396, GO:0008380, GO:0000375, GO:0000377, GO:0005488, GO:0065007, GO:0008150, GO:0009987, GO:0005575, GO:0051276, GO:0019899, GO:1901363, GO:0043231, GO:0003729, GO:0045292, GO:0016071, GO:0006397, GO:0000398, GO:0043170, GO:0043227, GO:0008152, GO:0000278, GO:0003674, GO:0016604, GO:0016607, GO:0090304, GO:0006139, GO:0005634, GO:0043274, GO:0044238, GO:0005515, GO:0051252, GO:0043484, GO:0000381, GO:0050789, GO:0050794, GO:0010468, GO:1903311, GO:0050684, GO:0048024, GO:0060255, GO:0019222, GO:0019219, GO:0080090, GO:0043226, GO:0007049, GO:0048869, GO:0051649, GO:0043229, GO:0051169, GO:0022412, GO:0006406, GO:0006913, GO:0071345, GO:0030261, GO:0071840, GO:0032502, GO:0016043, GO:1990823, GO:1990830, GO:0005685, GO:0045934, GO:0005654, GO:0005737	NA
LDECv5g00366	Beta-galactosidase-1-like protein 3; Homo sapiens	Glycosyl hydrolases family 35 putative active site.|Glycoside hydrolase, family 35, conserved site|Glycosidases|Glycosyl hydrolases family 35|Glycoside hydrolase 35, catalytic domain|Beta-galactosidase, galactose-binding domain|(Trans)glycosidases|Glycoside hydrolase superfamily|Glycosyl hydrolase family 35 signature|Glycoside hydrolase, family 35|B-gal|Beta-galactosidase 1-like|Beta-galactosidase|Beta-galactosidase, first all-beta domain|Beta-galactosidase 1-like , first all-beta domain|Galactose-binding domain-like|Galactose-binding-like domain superfamily	GO:0004553, GO:0005975, GO:0004565, GO:0008150, GO:0003824, GO:0005575, GO:0016798, GO:0008152, GO:0003674, GO:0044238, GO:0043170, GO:0016740, GO:0016787, GO:0045229, GO:0015925, GO:0009311	K25543
LDECv5g00367	Peroxidase; Drosophila melanogaster	Haem peroxidase domain superfamily, animal type|Heme-dependent peroxidases|Haem peroxidase superfamily|Animal haem peroxidase|Haem peroxidase, animal-type|Animal haem peroxidase signature|Haem peroxidase, animal-type|chorion peroxidase|peroxinectin_like|Animal heme peroxidase superfamily profile.|Haem peroxidase, animal-type	GO:0004601, GO:0006979, GO:0020037, GO:0008150, GO:0009987, GO:0005575, GO:0008152, GO:0003674, GO:0007155, GO:0019538, GO:0016020, GO:0003824, GO:0005488, GO:0043170, GO:0043167, GO:0036211, GO:0043412	K19511
LDECv5g00368	Splicing factor 3A subunit 1; Homo sapiens	Pre-mRNA splicing factor PRP21 like protein|Splicing factor 3A subunit 1, conserved domain|SURP motif repeat profile.|SWAP/Surp|Ubl_SF3a120|Splicing factor 3A subunit 1, ubiquitin domain|Splicing factor 3a, subunit 1|Surp module (SWAP domain)|SWAP/Surp superfamily|Surp module|SWAP/Surp|Surp module|SWAP/Surp superfamily|Ubiquitin-like|Ubiquitin-like domain superfamily|Splicing factor 3A subunit 1|Ubiquitin family|Ubiquitin-like domain|Ubiquitin signature|Ubiquitin domain|surpneu2|SWAP/Surp|Ubiquitin domain profile.|Ubiquitin-like domain|ubq_7|Ubiquitin-like domain	GO:0003723, GO:0006396, GO:0005515, GO:0000381, GO:0005686, GO:0045292, GO:0071004, GO:0071013, GO:0016070, GO:0008380, GO:0000375, GO:0000377, GO:0120114, GO:0005488, GO:0008150, GO:0005575, GO:0016071, GO:0006397, GO:0000398, GO:0043170, GO:0016604, GO:0016607, GO:0090304, GO:0006139, GO:0071011, GO:0071010, GO:0044238, GO:0032991, GO:1990904, GO:0030532, GO:0005681, GO:0097525, GO:1902494, GO:0009987, GO:0008152, GO:0003674, GO:1901363	K12825
LDECv5g00369	tRNA-dihydrouridine(20a/20b) synthase [NAD(P)+]-like; Mus musculus	DUS_like_FMN|DUS-like, FMN-binding domain|Uncharacterized protein family UPF0034 signature.|tRNA-dihydrouridine synthase, conserved site|Aldolase class I|Aldolase-type TIM barrel|Dihydrouridine synthase (Dus)|DUS-like, FMN-binding domain|FMN-linked oxidoreductases	GO:0008033, GO:0017150, GO:0050660, GO:0008150, GO:0003824, GO:0008152, GO:0009987	K05545
LDECv5g00370	Synaptic vesicle glycoprotein 2B; Homo sapiens	Major facilitator superfamily (MFS) profile.|Major facilitator superfamily domain|MFS general substrate transporter|MFS transporter superfamily|Organic cation/carnitine transporter 7|Sugar (and other) transporter|Major facilitator, sugar transporter-like|MFS general substrate transporter like domains|MFS transporter superfamily	GO:0022857, GO:0016020, GO:0055085, GO:0008150, GO:0005575, GO:0003674, GO:0031090, GO:0015291, GO:0005215, GO:0098588, GO:0005886, GO:0006810, GO:0051179, GO:0005774, GO:0098852, GO:0022804, GO:0051234, GO:0019842, GO:0006820, GO:0005488	K06258
LDECv5g00371	Membrane-associated transporter protein; Mus musculus	MFS general substrate transporter like domains|MFS transporter superfamily|MFS general substrate transporter|MFS transporter superfamily|MFS_SLC45_SUC	GO:0008506, GO:0016020, GO:0008150, GO:0005575, GO:0051234, GO:0051179, GO:0003674, GO:0022857, GO:0006810, GO:0005215, GO:0015144, GO:0015295, GO:0098588, GO:0008643	K15378
LDECv5g00372	Homeobox protein ceh-19; Caenorhabditis elegans	Homeodomain|Homeodomain-like|Homedomain-like superfamily|'Homeobox' domain profile.|Homeodomain|HOX_1|Homeodomain|homeodomain|Homeodomain|'Homeobox' domain signature.|Homeobox, conserved site|Homeobox signature|Homeodomain, metazoa	GO:0003677, GO:0000981, GO:0006355, GO:0048856, GO:0048513, GO:0005488, GO:0065007, GO:0008150, GO:0005575, GO:0032502, GO:1901363, GO:0043231, GO:0043229, GO:0043227, GO:0030901, GO:0003674, GO:0007275, GO:0032501, GO:0003676, GO:0005634, GO:0043226, GO:2001141, GO:0051252, GO:0050789, GO:0009889, GO:0050794, GO:0010468, GO:0010556, GO:0060255, GO:0019222, GO:0019219, GO:0080090, GO:0006357, GO:0043565, GO:0005667, GO:0048523, GO:0048732, GO:1902680, GO:0010557, GO:0009888, GO:0048519, GO:0051726, GO:0045893, GO:0060485, GO:0051254, GO:0007610, GO:0010628, GO:0061351, GO:0048869	K09360
LDECv5g00373	Delta-1-pyrroline-5-carboxylate synthase; Mus musculus	AAK_P5CS_ProBA|Bifunctional delta 1-pyrroline-5-carboxylate synthetase, glutamate-5-kinase domain|Carbamate kinase-like|Acetylglutamate kinase-like superfamily|ALDH_F18-19_ProA-GPR|GPR domain|Aldehyde Dehydrogenase; Chain A, domain 2|Aldehyde dehydrogenase, C-terminal|Gamma-glutamyl phosphate reductase signature.|Gamma-glutamyl phosphate reductase GPR, conserved site|ALDH-like|Aldehyde/histidinol dehydrogenase|Glutamate 5-kinase signature.|Glutamate 5-kinase, conserved site|Delta-1-pyrroline-5-carboxylate synthase|Aldehyde dehydrogenase family|Aldehyde dehydrogenase domain|Aldehyde Dehydrogenase; Chain A, domain 1|Aldehyde dehydrogenase, N-terminal|glutamate-5-semialdehyde dehydrogenase|GPR domain|P5C_synthetase|Delta l-pyrroline-5-carboxylate synthetase|glutamate-5-semialdehyde dehydrogenase|Gamma-glutamyl phosphate reductase [proA].|GPR domain|Glutamate 5-kinase family signature|Glutamate/acetylglutamate kinase|glutamate 5-kinase|Glutamate 5-kinase/delta-1-pyrroline-5-carboxylate synthase|Amino acid kinase family|Aspartate/glutamate/uridylate kinase|Acetylglutamate kinase-like superfamily|delta l-pyrroline-5-carboxylate synthetase|Delta l-pyrroline-5-carboxylate synthetase|Glutamate 5-kinase [proB].|Glutamate 5-kinase/delta-1-pyrroline-5-carboxylate synthase	GO:0004350, GO:0055129, GO:0016491, GO:0004349, GO:0005739, GO:0003824, GO:0005524, GO:0016301, GO:0005737, GO:1901607, GO:1901605, GO:0005488, GO:0008150, GO:0009058, GO:0046394, GO:0019752, GO:0008652, GO:0006520, GO:0009987, GO:0005575, GO:1901363, GO:0008152, GO:0003674, GO:1901265, GO:0000166, GO:0016053, GO:0006082, GO:0043436, GO:0016774, GO:0044238, GO:0036094, GO:0044283, GO:0044281, GO:0016740, GO:0016772, GO:0009084, GO:0043229, GO:0043231, GO:0006560, GO:0097367, GO:0043226, GO:0030554, GO:0043227, GO:0019202, GO:0032559, GO:0046395	K12657
LDECv5g00374	E3 SUMO-protein ligase ZBED1; Homo sapiens	ZBED1 RNase-like domain|Hermes dimerisation domain|Ribonuclease H-like|Ribonuclease H-like superfamily	GO:0005488, GO:0008150, GO:0016043, GO:0071840, GO:0009987, GO:0005575, GO:1901363, GO:0003674, GO:0003676, GO:0048518, GO:0140110, GO:0048522, GO:0009893, GO:0010604, GO:0051128, GO:0032991, GO:0043170, GO:0003700, GO:0065003, GO:0022607	NA
LDECv5g00375	Cancer-related nucleoside-triphosphatase homolog; Bos taurus	P-loop containing nucleoside triphosphate hydrolase|NTPase|RecA-like_Thep1|P-loop containing nucleoside triphosphate hydrolases|P-loop containing nucleoside triphosphate hydrolase|NTPase|Nucleoside-triphosphatase, THEP1 type|AAA_5|AAA+ ATPase domain	GO:0017111, GO:0005524, GO:0030554, GO:0032559, GO:0004017, GO:0043168, GO:0005488, GO:0097367, GO:0003824, GO:1901363, GO:0016787, GO:0016817, GO:0016818, GO:0043167, GO:0003674, GO:1901265, GO:0000166, GO:0016791, GO:0042578, GO:0017076, GO:0035639, GO:0032555, GO:0016462, GO:0032553, GO:0036094, GO:0019205, GO:0050145, GO:0016776, GO:0016788, GO:0045184	K06928
LDECv5g00376	NA	NA	GO:0005575, GO:0043229, GO:0009987, GO:0071840, GO:0016043	NA
LDECv5g00377	Dopamine receptor 2; Drosophila melanogaster	7TM_GPCR_Srsx_2|G protein-coupled receptor, rhodopsin-like|7 transmembrane receptor (rhodopsin family)|G protein-coupled receptor, rhodopsin-like|G-protein coupled receptors family 1 profile.|GPCR, rhodopsin-like, 7TM|G-protein coupled receptors family 1 signature.|G protein-coupled receptor, rhodopsin-like|Dopamine receptor 2|Family A G protein-coupled receptor-like|7tmA_Dop1R2-like|Rhodopsin-like GPCR superfamily signature|G protein-coupled receptor, rhodopsin-like	GO:0004930, GO:0005886, GO:0043410, GO:0071880, GO:0007186, GO:0016020, GO:0005488, GO:0065007, GO:0008150, GO:0009987, GO:0005575, GO:0060089, GO:0003674, GO:0050795, GO:0050789, GO:0065008, GO:0050794, GO:0032879, GO:0007165, GO:0038023, GO:0004888, GO:0007187, GO:0007193, GO:0003824, GO:0030594, GO:0043167, GO:1903831, GO:1901363, GO:0031090, GO:0007188, GO:0023051, GO:0040012, GO:0009719, GO:0099528, GO:0007610, GO:0098960, GO:0031410, GO:0008227, GO:0043269, GO:0010646	K04148
LDECv5g00378	Tetraspanin-5; Bos taurus	Tetraspanin family|Tetraspanin/Peripherin|Transmembrane four family signature|Tetraspanin|Tetraspanin|Tetraspanin, EC2 domain superfamily|Tetraspanin|Tetraspanin, animals	GO:0016020, GO:0005886, GO:0065007, GO:0008150, GO:0007166, GO:0051641, GO:0005575, GO:0019899, GO:0032501, GO:0045747, GO:0009967, GO:0023056, GO:0008593, GO:0050789, GO:0010646, GO:0050794, GO:0090287, GO:0048583, GO:0009966, GO:0023051, GO:0007165, GO:0048584, GO:0010647, GO:0019538, GO:0043170, GO:0008104, GO:0033036, GO:1990778, GO:0009987, GO:0048518, GO:0017015, GO:1901222	K17345
LDECv5g00379	Bumetanide-sensitive sodium-(potassium)-chloride cotransporter; Manduca sexta	Bumetanide-sensitive sodium-(Potassium)-chloride cotransporter-like Protein|Solute carrier family 12|SLC12A transporter, C-terminal|Amino acid/polyamine transporter I|K-Cl cotransporter|SLC12A transporter family|Amino acid permease|Amino acid permease/SLC12A domain	GO:0006811, GO:0016020, GO:0022857, GO:0015377, GO:0006884, GO:0008511, GO:0015379, GO:0035725, GO:0055064, GO:0055075, GO:0055078, GO:1902476, GO:1990573, GO:0055085, GO:0022853, GO:0022804, GO:0008509, GO:0015296, GO:0008150, GO:0008324, GO:0006812, GO:0005575, GO:0015108, GO:0051234, GO:0099587, GO:0015075, GO:0051179, GO:0030001, GO:0003674, GO:0006813, GO:0065008, GO:0015291, GO:0006814, GO:0015294, GO:0006810, GO:0005215, GO:0042592, GO:0098739, GO:0098659, GO:0050801, GO:0034220, GO:0006820, GO:0098655, GO:0098656, GO:0055080, GO:0055081, GO:0008361, GO:0015293, GO:0048878, GO:0098771, GO:0071805, GO:0015079, GO:0032535, GO:0098657, GO:0015373, GO:0065007	K10951
LDECv5g00380	Sulfotransferase 1E1; Bos taurus	Sulfotransferase domain|P-loop containing nucleoside triphosphate hydrolase|P-loop containing nucleoside triphosphate hydrolases|P-loop containing nucleoside triphosphate hydrolase	GO:0008146, GO:0008150, GO:0003824, GO:0016787, GO:0008152, GO:0003674, GO:0016740, GO:0005488, GO:0043169, GO:0046872, GO:0090304, GO:0006139, GO:0140097, GO:0006259, GO:0009987, GO:0043170, GO:0016788	NA
LDECv5g00381	Receptor-type tyrosine-protein phosphatase kappa; Homo sapiens	Protein-tyrosine phosphatase|Tyrosine-specific protein phosphatase, PTPase domain|ptp_7|Protein-tyrosine phosphatase, catalytic|PTPc_3|Tyrosine-specific protein phosphatase, PTPase domain|Tyrosine specific protein phosphatases active site.|Protein-tyrosine phosphatase, active site|(Phosphotyrosine protein) phosphatases II|Protein-tyrosine phosphatase-like|PTPc|Protein tyrosine phosphatase signature|Tyrosine-specific protein phosphatase, PTPase domain|PTP type protein phosphatase domain profile.|Tyrosine-specific protein phosphatase, PTPase domain|Protein-tryrosine phosphatase|Protein tyrosine phosphatase superfamily|Protein-tyrosine phosphatase-like|Tyrosine specific protein phosphatases domain profile.|Tyrosine-specific protein phosphatases domain	GO:0004725, GO:0006470, GO:0016311, GO:0005829, GO:0005886, GO:0007165, GO:0019901, GO:0030054, GO:0065007, GO:0008150, GO:0009987, GO:0005575, GO:0016787, GO:0003674, GO:0050789, GO:0050794, GO:0003824, GO:0140096, GO:0005576, GO:0048518, GO:0050793, GO:0007162	NA
LDECv5g00382	Microtubule-associated protein futsch; Drosophila melanogaster	Microtubule-associated protein 1B N-terminal|Microtubule-associated protein 1B/S, N-terminal domain|MAP1B MBL-like domain|Microtubule-associated protein 1A/B/S-like, MBL-like domain	GO:0000226, GO:0003779, GO:0005829, GO:0005874, GO:0005875, GO:0007409, GO:0008017, GO:0016358, GO:0030425, GO:0031114, GO:0043025, GO:0045202, GO:0009067, GO:0008150, GO:0010927, GO:0016043, GO:0009987, GO:0005575, GO:0098687, GO:0000781, GO:0016859, GO:0007010, GO:0016798, GO:0004553, GO:0003674, GO:0048523, GO:0006996, GO:0003755, GO:0007204, GO:0051480, GO:1904035, GO:0140096, GO:0071840, GO:0000755, GO:0016020, GO:0060415, GO:0043066, GO:1904036, GO:0018107, GO:0005886, GO:0045682, GO:0042634, GO:0033993, GO:0071731, GO:0005198, GO:0019725, GO:0030010, GO:0015929, GO:0016787, GO:0016853, GO:0005815, GO:0051349, GO:0050678, GO:0030029, GO:0065007, GO:0048869, GO:0030312, GO:0048519, GO:0010605, GO:0043226, GO:0048936, GO:0030422, GO:0090175, GO:0033363, GO:0030048, GO:0031941, GO:0007194, GO:0065009, GO:0055008, GO:0044162, GO:0043086, GO:0018210, GO:0044093, GO:0050790, GO:0040012, GO:0003824, GO:0030518, GO:0032502, GO:0045761, GO:0046034, GO:0007193, GO:0043069, GO:1903321, GO:0001649, GO:0048518, GO:0005618, GO:0051276, GO:0009892, GO:1902904, GO:0031175, GO:0006997, GO:0033574, GO:0043392, GO:0032879, GO:0045296, GO:0017018, GO:0045762, GO:0006259, GO:0031281, GO:0016887, GO:0031730, GO:0055074, GO:0048873, GO:0009967, GO:0042995, GO:0048646, GO:0031010, GO:0031698, GO:0030030, GO:0042592, GO:0017038, GO:1904752, GO:0055010, GO:0007343, GO:0019215, GO:0044703, GO:1903034, GO:0008307, GO:0043231, GO:0010569, GO:0043085, GO:0010921, GO:0010647, GO:0070252, GO:0033275, GO:0031400, GO:0051928, GO:0023051, GO:0004869, GO:0000775, GO:0050789, GO:1901654, GO:0030036, GO:0021954, GO:0009658, GO:0000302, GO:0046058, GO:0051664, GO:0071774, GO:0043227, GO:0051050, GO:0006448, GO:0016854, GO:1905330, GO:0008306, GO:0051248, GO:1901135, GO:0043243, GO:0045472, GO:0051047, GO:0010524, GO:0098791, GO:0006874, GO:0010628, GO:0048813, GO:0008544, GO:0043230, GO:2000177, GO:0043229	NA
LDECv5g00383	NA	NA	GO:0005575, GO:0043226, GO:0043229, GO:0008150, GO:0050789, GO:0007059	NA
LDECv5g00384	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2; Rattus norvegicus	Jelly Rolls|RmlC-like jelly roll fold|cnmp_10|Cyclic nucleotide-binding domain|CAP_ED|Cyclic nucleotide-binding domain|Helix hairpin bin|Cyclic nucleotide-binding domain|cAMP-binding domain-like|Cyclic nucleotide-binding domain superfamily|cAMP/cGMP binding motif profile.|Cyclic nucleotide-binding domain	GO:0003254, GO:0005249, GO:0035725, GO:0071805, GO:0098855, GO:0005575, GO:0015267, GO:1901363, GO:0005216, GO:0015075, GO:0003674, GO:0022803, GO:0016740, GO:0022857, GO:0005215, GO:0016772, GO:0003824, GO:0016020, GO:0005488, GO:0043167, GO:0005886, GO:0032553	NA
LDECv5g00385	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4; Mus musculus	cAMP-binding domain-like|Cyclic nucleotide-binding domain superfamily|CAP_ED|Cyclic nucleotide-binding domain|cAMP/cGMP binding motif profile.|Cyclic nucleotide-binding domain|Jelly Rolls|RmlC-like jelly roll fold|Cyclic nucleotide-binding domain|Helix hairpin bin|cnmp_10|Cyclic nucleotide-binding domain	GO:0003254, GO:0005249, GO:0035725, GO:0071805, GO:0098855, GO:0065007, GO:0008150, GO:0005575, GO:0015267, GO:0005216, GO:0003674, GO:0022803, GO:0050789, GO:0022857, GO:0005215, GO:0016020, GO:0009987, GO:0003824, GO:0022836, GO:0005261, GO:0015075	NA
LDECv5g00386	Alpha-galactosidase MYORG; Mus musculus	Glycosidases|Glycosyl hydrolase, all-beta|(Trans)glycosidases|Glycoside hydrolase superfamily|Glycosyl hydrolases family 31 TIM-barrel domain|Glycoside hydrolase family 31, TIM barrel domain|Glycosyl hydrolase domain|GH31_NET37|Glycosyl hydrolase family 31 C-terminal domain|Glycosyl hydrolase family 31, C-terminal domain	GO:0004553, GO:0005975, GO:0008150, GO:0003824, GO:0009987, GO:0005575, GO:0008152, GO:0016020, GO:0065007, GO:0016787, GO:0003674, GO:0022414, GO:0140096	K24727
LDECv5g00387	DNA helicase MCM9; Gallus gallus	MCM OB domain|Nucleic acid-binding, OB-fold|MCM family signature.|Mini-chromosome maintenance, conserved site|mcm|Mini-chromosome maintenance protein|Nucleic acid-binding proteins|Nucleic acid-binding, OB-fold|MCM family domain profile.|MCM domain|Mini-chromosome maintenance (MCM) protein family signature|MCM domain|MCM9, N-terminal domain|MCM AAA-lid domain|MCM, AAA-lid domain|P-loop containing nucleoside triphosphate hydrolases|P-loop containing nucleoside triphosphate hydrolase|P-loop containing nucleoside triphosphate hydrolase|AAA_5|AAA+ ATPase domain|DNA helicase MCM9 isoform X1|MCM P-loop domain|MCM domain	GO:0003677, GO:0005524, GO:0006260, GO:0000724, GO:0003697, GO:0005634, GO:0017116, GO:0042555, GO:0016887, GO:0006259, GO:0030554, GO:0032559, GO:0043168, GO:0005488, GO:0008150, GO:0097367, GO:0003824, GO:0009987, GO:0006974, GO:0051716, GO:0033554, GO:0005575, GO:0004386, GO:1901363, GO:0016787, GO:0016817, GO:0016818, GO:0043231, GO:0043229, GO:0043167, GO:0043170, GO:0043227, GO:0008152, GO:0003674, GO:0003676, GO:0090304, GO:1901265, GO:0017111, GO:0000166, GO:0043226, GO:0044238, GO:0017076, GO:0035639, GO:0032555, GO:0016462, GO:0022414, GO:0050896, GO:0032553, GO:0036094, GO:0006281, GO:0006139, GO:0006950, GO:0065007, GO:0006310, GO:0097362, GO:0051276, GO:0006270, GO:0032991, GO:0000781, GO:0005515	K10738
LDECv5g00388	Single-strand DNA endonuclease ASTE1; Homo sapiens	PIN domain-like|PIN-like domain superfamily|Asteroid N-terminal domain|Asteroid, C-terminal domain	GO:0005575, GO:0005829, GO:0003674, GO:0032991, GO:0008150	NA
LDECv5g00389	Zinc finger protein 37 homolog; Homo sapiens	Zinc finger C2H2 type domain signature.|Zinc finger C2H2-type|Classic Zinc Finger|c2h2final6|Zinc finger C2H2-type|Glucocorticoid receptor-like (DNA-binding domain)|beta-beta-alpha zinc fingers|Zinc finger C2H2 superfamily|Zinc finger C2H2 type domain profile.|Zinc finger C2H2-type|ZFP90 zinc finger protein|Zinc finger protein 574|Neurotrophin receptor-interacting factor homolog|ZAD domain profile.|Zinc finger, AD-type|zf_AD_2|Zinc finger, AD-type|Zinc-finger associated domain (zf-AD)|Zinc finger, AD-type|zinc finger protein 697|Zinc finger protein|Zinc finger, C2H2 type|Zinc finger C2H2-type|Zinc finger protein 33A|zinc finger protein 143 isoform X1|Si:cabz01071911.3	GO:0000978, GO:0003700, GO:0006357, GO:0005634, GO:0008270, GO:0003677, GO:0005488, GO:0065007, GO:0008150, GO:0043169, GO:0005575, GO:1901363, GO:0043231, GO:0043229, GO:0043167, GO:0043227, GO:0046872, GO:0003674, GO:0003676, GO:0043226, GO:0050789, GO:0000981	NA
LDECv5g00390	NA	NA	NA	NA
LDECv5g00391	Homeobox protein extradenticle; Anopheles gambiae	Homeodomain-like|Homedomain-like superfamily|Homeobox KN domain|KN homeodomain|PBC domain profile.|PBX, PBC domain|'Homeobox' domain profile.|Homeodomain|Pre-B-cell leukemia transcription factor 1|homeodomain|Homeodomain|'Homeobox' domain signature.|Homeobox, conserved site|HOX_1|Homeodomain|PBC domain|PBX, PBC domain	GO:0003677, GO:0006355, GO:0003700, GO:0005634, GO:0000981, GO:0090575, GO:0048856, GO:0005488, GO:0065007, GO:0008150, GO:0005575, GO:0032502, GO:1901363, GO:0003674, GO:0003676, GO:0043226, GO:1902680, GO:0051254, GO:0048518, GO:0009891, GO:0048522, GO:0010628, GO:0010557, GO:0010604, GO:0009893, GO:0045944, GO:0045893, GO:0032991, GO:2001141, GO:0051252, GO:0050789, GO:0009889, GO:0050794, GO:0010468, GO:0010556, GO:0060255, GO:0019222, GO:0019219, GO:0080090, GO:0006357, GO:0043565, GO:0048731, GO:0005667, GO:0140110, GO:0043229, GO:0007438, GO:0046982, GO:0048866, GO:0010453, GO:0001708, GO:0042659, GO:0014036	K09355
LDECv5g00392	tRNA (32-2'-O)-methyltransferase regulator THADA; Chlorocebus aethiops	THADA/TRM732, DUF2428|ARM repeat|Armadillo-type fold|Trm732, TPR repeats|tRNA (32-2'-O)-methyltransferase regulator THADA-like, TPR repeats region|Trm732, C-terminal TPR repeats|tRNA (32-2'-O)-methyltransferase regulator THADA-like, C-terminal TPR repeats region	GO:0005829, GO:0030488, GO:0065007, GO:0008150, GO:0051641, GO:0009987, GO:0005575, GO:0051234, GO:0051649, GO:0051179, GO:0033036, GO:0050789, GO:0032879, GO:0048583, GO:0046907, GO:0050794, GO:0006810, GO:0008104, GO:0003674, GO:0016043, GO:0071840, GO:0045184, GO:0032880, GO:1902473, GO:0005488, GO:0099111, GO:0005737, GO:0032991, GO:0048519, GO:0032101, GO:0071705, GO:0010646, GO:0031347, GO:0022412	K24169
LDECv5g00393	Zinc finger CCCH-type with G patch domain-containing protein; Anopheles gambiae	G-patch domain|Tudor_ZGPAT|G-patch domain profile.|G-patch domain|G-patch_5|G-patch domain|Zinc finger C3H1-type profile.|Zinc finger, CCCH-type	GO:0003676, GO:0000122, GO:0000978, GO:0001227, GO:0005634, GO:0046872, GO:0003677, GO:0005488, GO:0008150, GO:0005575, GO:1901363, GO:0043231, GO:0043229, GO:0043227, GO:0003674, GO:0043226, GO:0032991, GO:0140110, GO:0050896	NA
