Ldecemlineata	Dmelanogaster
LDECv5g04402	FBgn0002044
LDECv5g04654	FBgn0004049
LDECv5g04699	FBgn0250906
LDECv5g04704	FBgn0011586
LDECv5g04786	FBgn0040005
LDECv5g04804	FBgn0029161
LDECv5g04851	FBgn0085410
LDECv5g04899	FBgn0032871
LDECv5g04904	FBgn0003117
LDECv5g04944	FBgn0001324
LDECv5g05004	FBgn0035290
LDECv5g05165	FBgn0261383
LDECv5g05188	FBgn0052425
LDECv5g05325	FBgn0016070
LDECv5g05332	FBgn0031882
LDECv5g05421	FBgn0087008
LDECv5g05495	FBgn0023511
LDECv5g05530	FBgn0050438
LDECv5g05634	FBgn0003867
LDECv5g05651	FBgn0264494
LDECv5g05693	FBgn0023509
LDECv5g05710	FBgn0040010
LDECv5g05781	FBgn0031690
LDECv5g05799	FBgn0025802
LDECv5g05852	FBgn0020762
LDECv5g05913	FBgn0030716
LDECv5g05930	FBgn0031498
LDECv5g05985	FBgn0016034
LDECv5g06004	FBgn0003048
LDECv5g06037	FBgn0026259
LDECv5g06043	FBgn0005614
LDECv5g06046	FBgn0265959
LDECv5g06110	FBgn0039349
LDECv5g06199	FBgn0045823
LDECv5g06214	FBgn0261053
LDECv5g06219	FBgn0000253
LDECv5g06302	FBgn0004237
LDECv5g06315	FBgn0010235
LDECv5g06318	FBgn0033558
LDECv5g06321	FBgn0000097
LDECv5g06406	FBgn0286778
LDECv5g06429	FBgn0026576
LDECv5g06592	FBgn0011725
LDECv5g06728	FBgn0022710
LDECv5g06954	FBgn0015721
LDECv5g06963	FBgn0032779
LDECv5g07007	FBgn0031313
LDECv5g07021	FBgn0025720
LDECv5g07084	FBgn0053156
LDECv5g07129	FBgn0029763
LDECv5g07248	FBgn0015509
LDECv5g07276	FBgn0051678
LDECv5g07290	FBgn0034368
LDECv5g07476	FBgn0002306
LDECv5g07480	FBgn0024555
LDECv5g07530	FBgn0259745
LDECv5g07540	FBgn0035431
LDECv5g07550	FBgn0001169
LDECv5g07591	FBgn0000581
LDECv5g07599	FBgn0002914
LDECv5g07642	FBgn0038079
LDECv5g07689	FBgn0011640
LDECv5g07715	FBgn0039972
LDECv5g07735	FBgn0010222
LDECv5g07826	FBgn0039341
LDECv5g07858	FBgn0261597
LDECv5g07886	FBgn0263398
LDECv5g07928	FBgn0010772
LDECv5g07949	FBgn0051550
LDECv5g07974	FBgn0037265
LDECv5g07983	FBgn0031634
LDECv5g07988	FBgn0013746
LDECv5g08014	FBgn0005642
LDECv5g08038	FBgn0283724
LDECv5g08055	FBgn0030838
LDECv5g08068	FBgn0028509
LDECv5g08111	FBgn0020510
LDECv5g08162	FBgn0261859
LDECv5g08163	FBgn0037705
LDECv5g08194	FBgn0030407
LDECv5g08240	FBgn0011260
LDECv5g08325	FBgn0263251
LDECv5g08326	FBgn0035101
LDECv5g08329	FBgn0286813
LDECv5g08356	FBgn0036196
LDECv5g08381	FBgn0266084
LDECv5g08387	FBgn0036165
LDECv5g08419	FBgn0033845
LDECv5g08421	FBgn0259982
LDECv5g08532	FBgn0033339
LDECv5g08536	FBgn0033960
LDECv5g08579	FBgn0034894
LDECv5g08682	FBgn0035844
LDECv5g08687	FBgn0001269
LDECv5g08796	FBgn0033005
LDECv5g08888	FBgn0086909
LDECv5g08901	FBgn0020278
LDECv5g08969	FBgn0024330
LDECv5g08977	FBgn0024236
LDECv5g08982	FBgn0025455
LDECv5g09099	FBgn0085428
LDECv5g09173	FBgn0000659
LDECv5g09267	FBgn0034542
LDECv5g09269	FBgn0034543
LDECv5g09272	FBgn0027081
LDECv5g09319	FBgn0026374
LDECv5g09345	FBgn0039846
LDECv5g09510	FBgn0001258
LDECv5g09526	FBgn0035360
LDECv5g09536	FBgn0020620
LDECv5g09556	FBgn0013799
LDECv5g09620	FBgn0010288
LDECv5g09622	FBgn0024983
LDECv5g09684	FBgn0052105
LDECv5g09841	FBgn0034688
LDECv5g09845	FBgn0035944
LDECv5g09853	FBgn0261555
LDECv5g09920	FBgn0037188
LDECv5g09928	FBgn0029971
LDECv5g09984	FBgn0036257
LDECv5g10115	FBgn0039163
LDECv5g10145	FBgn0052311
LDECv5g10174	FBgn0259199
LDECv5g10192	FBgn0024315
LDECv5g10193	FBgn0003091
LDECv5g10204	FBgn0000147
LDECv5g10291	FBgn0259985
LDECv5g10294	FBgn0010246
LDECv5g10333	FBgn0003174
LDECv5g10355	FBgn0001235
LDECv5g10360	FBgn0035082
LDECv5g10406	FBgn0026879
LDECv5g10411	FBgn0023522
LDECv5g10417	FBgn0034520
LDECv5g10423	FBgn0003268
LDECv5g10466	FBgn0032833
LDECv5g10467	FBgn0001123
LDECv5g10510	FBgn0039757
LDECv5g10549	FBgn0033373
LDECv5g10559	FBgn0034645
LDECv5g10570	FBgn0022987
LDECv5g10604	FBgn0020647
LDECv5g10608	FBgn0284421
LDECv5g10644	FBgn0003137
LDECv5g10688	FBgn0024326
LDECv5g10783	FBgn0037770
LDECv5g10816	FBgn0034418
LDECv5g10864	FBgn0030361
LDECv5g10877	FBgn0039347
LDECv5g10894	FBgn0040309
LDECv5g10926	FBgn0032336
LDECv5g11098	FBgn0034975
LDECv5g11119	FBgn0013717
LDECv5g11147	FBgn0037796
LDECv5g11156	FBgn0085398
LDECv5g11182	FBgn0039560
LDECv5g11270	FBgn0001138
LDECv5g11302	FBgn0038475
LDECv5g11305	FBgn0287183
LDECv5g11322	FBgn0025697
LDECv5g11342	FBgn0037093
LDECv5g11346	FBgn0037368
LDECv5g11368	FBgn0262519
LDECv5g11381	FBgn0266409
LDECv5g11388	FBgn0002441
LDECv5g11425	FBgn0039727
LDECv5g11441	FBgn0030234
LDECv5g11482	FBgn0052082
LDECv5g11588	FBgn0261872
LDECv5g11614	FBgn0015320
LDECv5g11619	FBgn0027111
LDECv5g11631	FBgn0035708
LDECv5g11820	FBgn0031081
LDECv5g11841	FBgn0002566
LDECv5g11853	FBgn0259677
LDECv5g11866	FBgn0000542
LDECv5g12217	FBgn0034197
LDECv5g12401	FBgn0039294
LDECv5g12403	FBgn0016054
LDECv5g12494	FBgn0038401
LDECv5g12538	FBgn0250785
LDECv5g12577	FBgn0038256
LDECv5g12598	FBgn0083963
LDECv5g12667	FBgn0261722
LDECv5g12677	FBgn0003557
LDECv5g12725	FBgn0051638
LDECv5g12758	FBgn0261703
LDECv5g12837	FBgn0000615
LDECv5g12855	FBgn0086408
LDECv5g12923	FBgn0023094
LDECv5g12948	FBgn0086711
LDECv5g12998	FBgn0029941
LDECv5g13003	FBgn0264606
LDECv5g13020	FBgn0034897
LDECv5g13186	FBgn0040384
LDECv5g13201	FBgn0000394
LDECv5g13212	FBgn0038516
LDECv5g13264	FBgn0028425
LDECv5g13299	FBgn0052392
LDECv5g13394	FBgn0039152
LDECv5g13445	FBgn0030530
LDECv5g13446	FBgn0024689
LDECv5g13507	FBgn0288469
LDECv5g13540	FBgn0086680
LDECv5g13552	FBgn0267861
LDECv5g13662	FBgn0263131
LDECv5g13744	FBgn0030508
LDECv5g13746	FBgn0001250
LDECv5g13776	FBgn0038653
LDECv5g13838	FBgn0000454
LDECv5g13957	FBgn0259927
LDECv5g13985	FBgn0035181
LDECv5g14133	FBgn0287844
LDECv5g14226	FBgn0015513
LDECv5g14241	FBgn0038747
LDECv5g14258	FBgn0010198
LDECv5g14290	FBgn0027587
LDECv5g14303	FBgn0037238
LDECv5g14327	FBgn0262717
LDECv5g14678	FBgn0000061
LDECv5g14903	FBgn0038135
LDECv5g15016	FBgn0051140
LDECv5g15055	FBgn0033913
LDECv5g15085	FBgn0038145
LDECv5g15252	FBgn0031571
LDECv5g15324	FBgn0003464
LDECv5g15438	FBgn0000316
LDECv5g15461	FBgn0024251
LDECv5g00031	FBgn0262124
LDECv5g00059	FBgn0003513
LDECv5g00089	FBgn0030582
LDECv5g00129	FBgn0051122
LDECv5g00147	FBgn0030329
LDECv5g00195	FBgn0034486
LDECv5g00285	FBgn0264712
LDECv5g00377	FBgn0266137
LDECv5g00378	FBgn0031760
LDECv5g00391	FBgn0000611
LDECv5g00400	FBgn0033609
LDECv5g00425	FBgn0020493
LDECv5g00488	FBgn0039530
LDECv5g00503	FBgn0035879
LDECv5g00534	FBgn0025865
LDECv5g00662	FBgn0028387
LDECv5g00696	FBgn0030334
LDECv5g00779	FBgn0031768
LDECv5g00781	FBgn0029672
LDECv5g00783	FBgn0033717
LDECv5g00798	FBgn0015754
LDECv5g00800	FBgn0026061
LDECv5g00818	FBgn0053958
LDECv5g00847	FBgn0029823
LDECv5g00849	FBgn0086605
LDECv5g00966	FBgn0037530
LDECv5g01005	FBgn0031092
LDECv5g01043	FBgn0262732
LDECv5g01062	FBgn0019952
LDECv5g01067	FBgn0033919
LDECv5g01070	FBgn0033983
LDECv5g01095	FBgn0037205
LDECv5g01158	FBgn0030437
LDECv5g01181	FBgn0039741
LDECv5g01188	FBgn0037135
LDECv5g01199	FBgn0031566
LDECv5g01318	FBgn0030034
LDECv5g01337	FBgn0011723
LDECv5g01354	FBgn0031257
LDECv5g01357	FBgn0039877
LDECv5g01363	FBgn0014075
LDECv5g01419	FBgn0039742
LDECv5g01439	FBgn0028979
LDECv5g01446	FBgn0052843
LDECv5g01481	FBgn0035020
LDECv5g01498	FBgn0260003
LDECv5g01501	FBgn0038874
LDECv5g01529	FBgn0004959
LDECv5g01542	FBgn0033377
LDECv5g01551	FBgn0004910
LDECv5g01557	FBgn0286898
LDECv5g01564	FBgn0035473
LDECv5g01573	FBgn0086674
LDECv5g01578	FBgn0028397
LDECv5g01628	FBgn0039667
LDECv5g01638	FBgn0031069
LDECv5g01689	FBgn0036373
LDECv5g01697	FBgn0030863
LDECv5g01700	FBgn0029997
LDECv5g01705	FBgn0015271
LDECv5g01747	FBgn0039303
LDECv5g01773	FBgn0039359
LDECv5g01779	FBgn0032816
LDECv5g01818	FBgn0260943
LDECv5g01843	FBgn0013343
LDECv5g01854	FBgn0035880
LDECv5g01859	FBgn0285954
LDECv5g01869	FBgn0015623
LDECv5g01875	FBgn0034490
LDECv5g01876	FBgn0031227
LDECv5g01882	FBgn0031813
LDECv5g01895	FBgn0262730
LDECv5g01926	FBgn0025469
LDECv5g01947	FBgn0033476
LDECv5g01955	FBgn0000547
LDECv5g01990	FBgn0032219
LDECv5g01992	FBgn0063368
LDECv5g02083	FBgn0083992
LDECv5g02084	FBgn0023001
LDECv5g02263	FBgn0259242
LDECv5g02316	FBgn0039234
LDECv5g02325	FBgn0026411
LDECv5g02344	FBgn0038088
LDECv5g02373	FBgn0037044
LDECv5g02387	FBgn0000183
LDECv5g02398	FBgn0003896
LDECv5g02404	FBgn0029720
LDECv5g02505	FBgn0029881
LDECv5g02512	FBgn0039381
LDECv5g04966	FBgn0035875
LDECv5g02545	FBgn0250833
LDECv5g02561	FBgn0030571
LDECv5g02603	FBgn0266064
LDECv5g02628	FBgn0085447
LDECv5g02784	FBgn0030263
LDECv5g02801	FBgn0032651
LDECv5g02833	FBgn0032348
LDECv5g02846	FBgn0032079
LDECv5g02906	FBgn0039928
LDECv5g02935	FBgn0038395
LDECv5g03013	FBgn0031183
LDECv5g03016	FBgn0030844
LDECv5g03134	FBgn0031484
LDECv5g03152	FBgn0010114
LDECv5g03253	FBgn0035171
LDECv5g03260	FBgn0261260
LDECv5g03262	FBgn0052736
LDECv5g03286	FBgn0004852
LDECv5g03289	FBgn0064126
LDECv5g03294	FBgn0261458
LDECv5g03319	FBgn0011742
LDECv5g03375	FBgn0031990
LDECv5g03383	FBgn0036180
LDECv5g03415	FBgn0025681
LDECv5g03433	FBgn0052017
LDECv5g03464	FBgn0039187
LDECv5g03491	FBgn0037279
LDECv5g03532	FBgn0037950
LDECv5g03574	FBgn0288966
LDECv5g03607	FBgn0035087
LDECv5g03631	FBgn0067864
LDECv5g03644	FBgn0052850
LDECv5g03658	FBgn0031375
LDECv5g03679	FBgn0259211
LDECv5g03763	FBgn0036742
LDECv5g03782	FBgn0037570
LDECv5g03797	FBgn0264542
LDECv5g03803	FBgn0026869
LDECv5g03816	FBgn0034602
LDECv5g03826	FBgn0034717
LDECv5g03828	FBgn0020307
LDECv5g03857	FBgn0052056
LDECv5g03870	FBgn0085420
LDECv5g03890	FBgn0032243
LDECv5g03896	FBgn0014007
LDECv5g03921	FBgn0052512
LDECv5g03939	FBgn0039109
LDECv5g03949	FBgn0038421
LDECv5g03966	FBgn0035094
LDECv5g03970	FBgn0032774
LDECv5g03998	FBgn0033484
LDECv5g04003	FBgn0028743
LDECv5g04046	FBgn0004369
LDECv5g04047	FBgn0285955
LDECv5g04057	FBgn0243512
LDECv5g04088	FBgn0038716
LDECv5g04093	FBgn0003410
LDECv5g04125	FBgn0034744
LDECv5g04142	FBgn0031866
LDECv5g04144	FBgn0014859
LDECv5g04149	FBgn0037442
LDECv5g04161	FBgn0031285
LDECv5g04166	FBgn0010583
LDECv5g04168	FBgn0027338
LDECv5g04211	FBgn0086532
LDECv5g04243	FBgn0029851
LDECv5g04247	FBgn0028475
LDECv5g04298	FBgn0052831
LDECv5g04313	FBgn0263220
LDECv5g04330	FBgn0035047
LDECv5g04345	FBgn0034009
LDECv5g04352	FBgn0039902
LDECv5g04505	FBgn0267975
LDECv5g04510	FBgn0024975
LDECv5g04523	FBgn0039590
LDECv5g04528	FBgn0031646
LDECv5g04538	FBgn0015795
LDECv5g04583	FBgn0037326
LDECv5g04646	FBgn0035321
LDECv5g04698	FBgn0011754
LDECv5g04712	FBgn0020236
LDECv5g04727	FBgn0010551
LDECv5g04733	FBgn0030276
LDECv5g04734	FBgn0002525
LDECv5g04739	FBgn0020238
LDECv5g04764	FBgn0034013
LDECv5g04774	FBgn0036288
LDECv5g04792	FBgn0035945
LDECv5g04793	FBgn0004797
LDECv5g04794	FBgn0260795
LDECv5g04800	FBgn0004390
LDECv5g04882	FBgn0261276
LDECv5g04952	FBgn0039713
LDECv5g04977	FBgn0039955
LDECv5g04982	FBgn0030724
LDECv5g04983	FBgn0031030
LDECv5g05007	FBgn0030038
LDECv5g05031	FBgn0036136
LDECv5g05070	FBgn0031089
LDECv5g05078	FBgn0052750
LDECv5g05088	FBgn0087002
LDECv5g05090	FBgn0002626
LDECv5g05111	FBgn0265523
LDECv5g05143	FBgn0036286
LDECv5g05153	FBgn0037855
LDECv5g05160	FBgn0031390
LDECv5g05216	FBgn0032694
LDECv5g05225	FBgn0034452
LDECv5g07230	FBgn0260431
LDECv5g05303	FBgn0015756
LDECv5g05334	FBgn0031392
LDECv5g05357	FBgn0034858
LDECv5g05363	FBgn0036728
LDECv5g05367	FBgn0036020
LDECv5g05369	FBgn0031575
LDECv5g05420	FBgn0000376
LDECv5g05468	FBgn0038818
LDECv5g05493	FBgn0033252
LDECv5g05514	FBgn0035335
LDECv5g05524	FBgn0030161
LDECv5g05557	FBgn0037000
LDECv5g05564	FBgn0030706
LDECv5g05572	FBgn0011837
LDECv5g05603	FBgn0033712
LDECv5g05624	FBgn0028550
LDECv5g05655	FBgn0033762
LDECv5g05669	FBgn0032593
LDECv5g05694	FBgn0261277
LDECv5g05718	FBgn0024920
LDECv5g05782	FBgn0035710
LDECv5g05836	FBgn0030512
LDECv5g05869	FBgn0004449
LDECv5g05874	FBgn0032117
LDECv5g05890	FBgn0032014
LDECv5g05900	FBgn0033929
LDECv5g05921	FBgn0025641
LDECv5g05942	FBgn0030208
LDECv5g05943	FBgn0004919
LDECv5g05983	FBgn0038295
LDECv5g06054	FBgn0283680
LDECv5g06055	FBgn0017561
LDECv5g06075	FBgn0005660
LDECv5g06112	FBgn0027865
LDECv5g06179	FBgn0023528
LDECv5g06201	FBgn0032961
LDECv5g06202	FBgn0000037
LDECv5g06208	FBgn0004101
LDECv5g06215	FBgn0003388
LDECv5g06231	FBgn0040376
LDECv5g06286	FBgn0037873
LDECv5g06310	FBgn0064225
LDECv5g06334	FBgn0038504
LDECv5g06384	FBgn0039532
LDECv5g06393	FBgn0052758
LDECv5g06408	FBgn0039993
LDECv5g06453	FBgn0025456
LDECv5g06488	FBgn0011818
LDECv5g06503	FBgn0036534
LDECv5g06504	FBgn0028341
LDECv5g06529	FBgn0003267
LDECv5g06557	FBgn0004118
LDECv5g06565	FBgn0053993
LDECv5g06581	FBgn0053556
LDECv5g06643	FBgn0020660
LDECv5g06663	FBgn0288229
LDECv5g06681	FBgn0042094
LDECv5g06712	FBgn0039936
LDECv5g06718	FBgn0033460
LDECv5g06722	FBgn0031907
LDECv5g06742	FBgn0032475
LDECv5g06755	FBgn0025639
LDECv5g06799	FBgn0028370
LDECv5g06807	FBgn0028858
LDECv5g06862	FBgn0028343
LDECv5g06877	FBgn0260632
LDECv5g06979	FBgn0010497
LDECv5g07005	FBgn0031359
LDECv5g07080	FBgn0030718
LDECv5g07192	FBgn0030790
LDECv5g07233	FBgn0035028
LDECv5g07323	FBgn0035089
LDECv5g07349	FBgn0034566
LDECv5g07416	FBgn0034022
LDECv5g07422	FBgn0262728
LDECv5g07498	FBgn0032719
LDECv5g07547	FBgn0016119
LDECv5g07553	FBgn0260012
LDECv5g07554	FBgn0031474
LDECv5g07620	FBgn0265416
LDECv5g07627	FBgn0085419
LDECv5g07643	FBgn0032329
LDECv5g07661	FBgn0264785
LDECv5g07666	FBgn0039360
LDECv5g07678	FBgn0003517
LDECv5g07690	FBgn0036734
LDECv5g07696	FBgn0003447
LDECv5g07709	FBgn0283473
LDECv5g07730	FBgn0031401
LDECv5g07737	FBgn0037336
LDECv5g07743	FBgn0086898
LDECv5g07776	FBgn0085450
LDECv5g07780	FBgn0003415
LDECv5g07799	FBgn0051760
LDECv5g07824	FBgn0005411
LDECv5g07880	FBgn0039240
LDECv5g07965	FBgn0034803
LDECv5g08056	FBgn0003139
LDECv5g08102	FBgn0039920
LDECv5g08121	FBgn0030330
LDECv5g08130	FBgn0266347
LDECv5g08168	FBgn0031606
LDECv5g08197	FBgn0002772
LDECv5g08225	FBgn0259685
LDECv5g08334	FBgn0036862
LDECv5g08336	FBgn0011606
LDECv5g08340	FBgn0015766
LDECv5g08371	FBgn0003731
LDECv5g08380	FBgn0260959
LDECv5g08386	FBgn0038737
LDECv5g08424	FBgn0035538
LDECv5g08454	FBgn0031251
LDECv5g08473	FBgn0039081
LDECv5g08502	FBgn0015772
LDECv5g08570	FBgn0039617
LDECv5g08580	FBgn0038745
LDECv5g08598	FBgn0033668
LDECv5g08619	FBgn0003053
LDECv5g08643	FBgn0036516
LDECv5g08695	FBgn0020521
LDECv5g08743	FBgn0033362
LDECv5g08768	FBgn0035959
LDECv5g08793	FBgn0044872
LDECv5g08820	FBgn0051729
LDECv5g08828	FBgn0289556
LDECv5g08908	FBgn0035978
LDECv5g08912	FBgn0035849
LDECv5g08938	FBgn0030251
LDECv5g08973	FBgn0035515
LDECv5g09047	FBgn0037057
LDECv5g09134	FBgn0037998
LDECv5g09149	FBgn0038532
LDECv5g09263	FBgn0260444
LDECv5g09310	FBgn0028916
LDECv5g09313	FBgn0286784
LDECv5g09351	FBgn0265192
LDECv5g09361	FBgn0037760
LDECv5g09363	FBgn0037758
LDECv5g09381	FBgn0086904
LDECv5g09402	FBgn0250837
LDECv5g09418	FBgn0045862
LDECv5g09476	FBgn0034364
LDECv5g09515	FBgn0037017
LDECv5g09560	FBgn0035107
LDECv5g09562	FBgn0035106
LDECv5g09563	FBgn0261862
LDECv5g09569	FBgn0263456
LDECv5g09578	FBgn0053144
LDECv5g09589	FBgn0034997
LDECv5g09590	FBgn0262739
LDECv5g09645	FBgn0035815
LDECv5g09712	FBgn0034636
LDECv5g09737	FBgn0002638
LDECv5g09761	FBgn0027287
LDECv5g09770	FBgn0037015
LDECv5g09815	FBgn0035165
LDECv5g09832	FBgn0035237
LDECv5g10074	FBgn0087011
LDECv5g10154	FBgn0052447
LDECv5g10165	FBgn0030761
LDECv5g10191	FBgn0001189
LDECv5g10266	FBgn0035402
LDECv5g10273	FBgn0002590
LDECv5g10308	FBgn0050122
LDECv5g10310	FBgn0039385
LDECv5g10375	FBgn0264816
LDECv5g10404	FBgn0017558
LDECv5g10429	FBgn0010309
LDECv5g10457	FBgn0030228
LDECv5g10459	FBgn0015019
LDECv5g10486	FBgn0037533
LDECv5g10528	FBgn0036993
LDECv5g10624	FBgn0025381
LDECv5g10679	FBgn0032910
LDECv5g10749	FBgn0000662
LDECv5g10809	FBgn0011584
LDECv5g10823	FBgn0011361
LDECv5g10875	FBgn0039008
LDECv5g10876	FBgn0039348
LDECv5g10990	FBgn0023091
LDECv5g11028	FBgn0036999
LDECv5g11051	FBgn0030839
LDECv5g11117	FBgn0051145
LDECv5g11130	FBgn0052438
LDECv5g11139	FBgn0036501
LDECv5g11145	FBgn0004575
LDECv5g11169	FBgn0032812
LDECv5g11176	FBgn0037218
LDECv5g11199	FBgn0250907
LDECv5g11290	FBgn0039844
LDECv5g11295	FBgn0004573
LDECv5g11298	FBgn0000181
LDECv5g11328	FBgn0029831
LDECv5g11343	FBgn0015279
LDECv5g11374	FBgn0262867
LDECv5g11375	FBgn0003463
LDECv5g11386	FBgn0015521
LDECv5g11413	FBgn0266848
LDECv5g11423	FBgn0038872
LDECv5g11424	FBgn0260935
LDECv5g11435	FBgn0040601
LDECv5g11464	FBgn0037200
LDECv5g11544	FBgn0002973
LDECv5g11594	FBgn0017581
LDECv5g11598	FBgn0036980
LDECv5g11726	FBgn0029898
LDECv5g11727	FBgn0023524
LDECv5g11770	FBgn0040075
LDECv5g11774	FBgn0036544
LDECv5g11777	FBgn0266708
LDECv5g11804	FBgn0026619
LDECv5g12237	FBgn0039114
LDECv5g12301	FBgn0250830
LDECv5g12302	FBgn0038126
LDECv5g12314	FBgn0000024
LDECv5g12357	FBgn0030357
LDECv5g12423	FBgn0250839
LDECv5g12440	FBgn0264443
LDECv5g12466	FBgn0027108
LDECv5g12471	FBgn0085387
LDECv5g12472	FBgn0250871
LDECv5g12489	FBgn0014380
LDECv5g12495	FBgn0036173
LDECv5g12520	FBgn0028342
LDECv5g12523	FBgn0037846
LDECv5g12530	FBgn0035484
LDECv5g12557	FBgn0036147
LDECv5g12559	FBgn0004623
LDECv5g12602	FBgn0035293
LDECv5g12604	FBgn0030753
LDECv5g12605	FBgn0032516
LDECv5g12645	FBgn0032633
LDECv5g12662	FBgn0036202
LDECv5g12733	FBgn0014343
LDECv5g12734	FBgn0263199
LDECv5g12764	FBgn0033015
LDECv5g12821	FBgn0027548
LDECv5g12866	FBgn0005612
LDECv5g12917	FBgn0261403
LDECv5g12927	FBgn0037792
LDECv5g12937	FBgn0027945
LDECv5g12995	FBgn0035995
LDECv5g13001	FBgn0036039
LDECv5g13027	FBgn0038617
LDECv5g13129	FBgn0030617
LDECv5g13208	FBgn0037592
LDECv5g13288	FBgn0037643
LDECv5g13326	FBgn0263780
LDECv5g13358	FBgn0034804
LDECv5g13449	FBgn0034110
LDECv5g13450	FBgn0027581
LDECv5g13483	FBgn0028331
LDECv5g13509	FBgn0044419
LDECv5g13515	FBgn0259937
LDECv5g13517	FBgn0001978
LDECv5g13524	FBgn0036101
LDECv5g13553	FBgn0032210
LDECv5g13573	FBgn0036685
LDECv5g13608	FBgn0002023
LDECv5g13609	FBgn0032749
LDECv5g13667	FBgn0031769
LDECv5g13671	FBgn0032850
LDECv5g13677	FBgn0003964
LDECv5g13741	FBgn0051072
LDECv5g13747	FBgn0031765
LDECv5g13825	FBgn0037427
LDECv5g13841	FBgn0082585
LDECv5g13850	FBgn0033086
LDECv5g13861	FBgn0032202
LDECv5g13875	FBgn0030734
LDECv5g13998	FBgn0042132
LDECv5g13999	FBgn0031066
LDECv5g14069	FBgn0262115
LDECv5g14070	FBgn0045035
LDECv5g14084	FBgn0037120
LDECv5g14122	FBgn0032013
LDECv5g14130	FBgn0085426
LDECv5g14151	FBgn0283535
LDECv5g14213	FBgn0037387
LDECv5g14221	FBgn0000566
LDECv5g14237	FBgn0040765
LDECv5g14279	FBgn0005633
LDECv5g14291	FBgn0266417
LDECv5g14339	FBgn0032876
LDECv5g14697	FBgn0261341
LDECv5g14701	FBgn0032946
LDECv5g14703	FBgn0015546
LDECv5g14803	FBgn0037715
LDECv5g14862	FBgn0260793
LDECv5g14899	FBgn0035010
LDECv5g14956	FBgn0051481
LDECv5g14975	FBgn0052227
LDECv5g15003	FBgn0032513
LDECv5g15017	FBgn0037757
LDECv5g15063	FBgn0035173
LDECv5g15079	FBgn0260964
LDECv5g15081	FBgn0021761
LDECv5g15097	FBgn0039007
LDECv5g15103	FBgn0010265
LDECv5g15110	FBgn0000273
LDECv5g15111	FBgn0032048
LDECv5g15147	FBgn0038326
LDECv5g15150	FBgn0038947
LDECv5g15207	FBgn0082582
LDECv5g15283	FBgn0004396
LDECv5g15292	FBgn0031514
LDECv5g15295	FBgn0267001
LDECv5g15308	FBgn0029820
LDECv5g15318	FBgn0029176
LDECv5g15320	FBgn0033810
LDECv5g15356	FBgn0014006
LDECv5g15392	FBgn0031955
LDECv5g15415	FBgn0285947
LDECv5g15416	FBgn0011290
LDECv5g15432	FBgn0005775
LDECv5g15450	FBgn0261283
LDECv5g15476	FBgn0029003
LDECv5g15475	FBgn0027546
LDECv5g15489	FBgn0016650
LDECv5g00012	FBgn0013997
LDECv5g00032	FBgn0260987
LDECv5g00055	FBgn0026441
LDECv5g00057	FBgn0030662
LDECv5g00087	FBgn0012036
LDECv5g00105	FBgn0031824
LDECv5g00120	FBgn0038629
LDECv5g00123	FBgn0038627
LDECv5g00137	FBgn0266581
LDECv5g00149	FBgn0039734
LDECv5g00155	FBgn0000036
LDECv5g00165	FBgn0262699
LDECv5g00213	FBgn0035689
LDECv5g00222	FBgn0014037
LDECv5g00266	FBgn0030625
LDECv5g00268	FBgn0263740
LDECv5g00284	FBgn0035638
LDECv5g00293	FBgn0052442
LDECv5g00327	FBgn0005386
LDECv5g00341	FBgn0038666
LDECv5g00369	FBgn0032750
LDECv5g00371	FBgn0267429
LDECv5g00382	FBgn0259108
LDECv5g00392	FBgn0031077
LDECv5g00394	FBgn0034849
LDECv5g00401	FBgn0011230
LDECv5g00423	FBgn0024491
LDECv5g00435	FBgn0038965
LDECv5g00436	FBgn0025571
LDECv5g00470	FBgn0027654
LDECv5g00483	FBgn0036909
LDECv5g00495	FBgn0030421
LDECv5g00509	FBgn0004647
LDECv5g00524	FBgn0036825
LDECv5g00529	FBgn0038679
LDECv5g00585	FBgn0039066
LDECv5g00586	FBgn0003462
LDECv5g00591	FBgn0033194
LDECv5g00648	FBgn0035630
LDECv5g00650	FBgn0038389
LDECv5g00665	FBgn0036853
LDECv5g00684	FBgn0083969
LDECv5g00689	FBgn0013759
LDECv5g00723	FBgn0031681
LDECv5g00791	FBgn0086347
LDECv5g00804	FBgn0029935
LDECv5g00809	FBgn0260945
LDECv5g00838	FBgn0036662
LDECv5g00848	FBgn0030366
LDECv5g00851	FBgn0004359
LDECv5g00876	FBgn0030467
LDECv5g00888	FBgn0001992
LDECv5g00961	FBgn0014163
LDECv5g00973	FBgn0000229
LDECv5g00975	FBgn0000182
LDECv5g00979	FBgn0005322
LDECv5g00998	FBgn0001291
LDECv5g00999	FBgn0267330
LDECv5g01049	FBgn0016926
LDECv5g01056	FBgn0261068
LDECv5g01060	FBgn0030391
LDECv5g01090	FBgn0036194
LDECv5g01092	FBgn0036188
LDECv5g01093	FBgn0036195
LDECv5g01115	FBgn0036571
LDECv5g01116	FBgn0043799
LDECv5g01128	FBgn0085478
LDECv5g01139	FBgn0261534
LDECv5g01161	FBgn0265767
LDECv5g01310	FBgn0283682
LDECv5g01322	FBgn0053995
LDECv5g01339	FBgn0052448
LDECv5g01355	FBgn0263198
LDECv5g01366	FBgn0053988
LDECv5g01378	FBgn0061492
LDECv5g01383	FBgn0037466
